#      theta         phi           r
   0.0000000   0.0000000   0.4145912
   0.3141593   0.0000000   0.4157674
   0.6283185   0.0000000   0.4179896
   0.9424778   0.0000000   0.4198593
   1.2566371   0.0000000   0.4207259
   1.5707963   0.0000000   0.4208360
   1.8849556   0.0000000   0.4207259
   2.1991149   0.0000000   0.4198593
   2.5132741   0.0000000   0.4179896
   2.8274334   0.0000000   0.4157674
   3.1415927   0.0000000   0.4145912
   0.0000000   0.6283185   0.4147127
   0.3141593   0.6283185   0.4155815
   0.6283185   0.6283185   0.4172025
   0.9424778   0.6283185   0.4185371
   1.2566371   0.6283185   0.4191320
   1.5707963   0.6283185   0.4192615
   1.8849556   0.6283185   0.4191320
   2.1991149   0.6283185   0.4185371
   2.5132741   0.6283185   0.4172025
   2.8274334   0.6283185   0.4155815
   3.1415927   0.6283185   0.4147127
   0.0000000   1.2566371   0.4147464
   0.3141593   1.2566371   0.4152678
   0.6283185   1.2566371   0.4157931
   0.9424778   1.2566371   0.4155244
   1.2566371   1.2566371   0.4146768
   1.5707963   1.2566371   0.4141834
   1.8849556   1.2566371   0.4146768
   2.1991149   1.2566371   0.4155244
   2.5132741   1.2566371   0.4157931
   2.8274334   1.2566371   0.4152678
   3.1415927   1.2566371   0.4147464
   0.0000000   1.8849556   0.4147996
   0.3141593   1.8849556   0.4153568
   0.6283185   1.8849556   0.4159813
   0.9424778   1.8849556   0.4158458
   1.2566371   1.8849556   0.4151141
   1.5707963   1.8849556   0.4146726
   1.8849556   1.8849556   0.4151141
   2.1991149   1.8849556   0.4158458
   2.5132741   1.8849556   0.4159813
   2.8274334   1.8849556   0.4153568
   3.1415927   1.8849556   0.4147996
   0.0000000   2.5132741   0.4148063
   0.3141593   2.5132741   0.4158019
   0.6283185   2.5132741   0.4175734
   0.9424778   2.5132741   0.4189380
   1.2566371   2.5132741   0.4195663
   1.5707963   2.5132741   0.4197050
   1.8849556   2.5132741   0.4195663
   2.1991149   2.5132741   0.4189380
   2.5132741   2.5132741   0.4175734
   2.8274334   2.5132741   0.4158019
   3.1415927   2.5132741   0.4148063
   0.0000000   3.1415927   0.4147113
   0.3141593   3.1415927   0.4160040
   0.6283185   3.1415927   0.4182788
   0.9424778   3.1415927   0.4199887
   1.2566371   3.1415927   0.4207301
   1.5707963   3.1415927   0.4207815
   1.8849556   3.1415927   0.4207301
   2.1991149   3.1415927   0.4199887
   2.5132741   3.1415927   0.4182788
   2.8274334   3.1415927   0.4160040
   3.1415927   3.1415927   0.4147113
   0.0000000   3.7699112   0.4147671
   0.3141593   3.7699112   0.4157160
   0.6283185   3.7699112   0.4173918
   0.9424778   3.7699112   0.4186615
   1.2566371   3.7699112   0.4192234
   1.5707963   3.7699112   0.4193405
   1.8849556   3.7699112   0.4192234
   2.1991149   3.7699112   0.4186615
   2.5132741   3.7699112   0.4173918
   2.8274334   3.7699112   0.4157160
   3.1415927   3.7699112   0.4147671
   0.0000000   4.3982297   0.4147830
   0.3141593   4.3982297   0.4152359
   0.6283185   4.3982297   0.4156424
   0.9424778   4.3982297   0.4153046
   1.2566371   4.3982297   0.4144977
   1.5707963   4.3982297   0.4140431
   1.8849556   4.3982297   0.4144977
   2.1991149   4.3982297   0.4153046
   2.5132741   4.3982297   0.4156425
   2.8274334   4.3982297   0.4152359
   3.1415927   4.3982297   0.4147830
   0.0000000   5.0265482   0.4147254
   0.3141593   5.0265482   0.4151813
   0.6283185   5.0265482   0.4155877
   0.9424778   5.0265482   0.4152408
   1.2566371   5.0265482   0.4144204
   1.5707963   5.0265482   0.4139538
   1.8849556   5.0265482   0.4144204
   2.1991149   5.0265482   0.4152408
   2.5132741   5.0265482   0.4155877
   2.8274334   5.0265482   0.4151813
   3.1415927   5.0265482   0.4147254
   0.0000000   5.6548668   0.4146622
   0.3141593   5.6548668   0.4155506
   0.6283185   5.6548668   0.4172450
   0.9424778   5.6548668   0.4186982
   1.2566371   5.6548668   0.4194092
   1.5707963   5.6548668   0.4195900
   1.8849556   5.6548668   0.4194092
   2.1991149   5.6548668   0.4186982
   2.5132741   5.6548668   0.4172450
   2.8274334   5.6548668   0.4155506
   3.1415927   5.6548668   0.4146622
