#      theta         phi           r
   0.0000000   0.0000000   0.3833151
   0.3141593   0.0000000   0.3840684
   0.6283185   0.0000000   0.3853424
   0.9424778   0.0000000   0.3861918
   1.2566371   0.0000000   0.3863822
   1.5707963   0.0000000   0.3862861
   1.8849556   0.0000000   0.3863822
   2.1991149   0.0000000   0.3861917
   2.5132741   0.0000000   0.3853423
   2.8274334   0.0000000   0.3840683
   3.1415927   0.0000000   0.3833151
   0.0000000   0.6283185   0.3832614
   0.3141593   0.6283185   0.3838816
   0.6283185   0.6283185   0.3849972
   0.9424778   0.6283185   0.3858462
   1.2566371   0.6283185   0.3861398
   1.5707963   0.6283185   0.3861656
   1.8849556   0.6283185   0.3861398
   2.1991149   0.6283185   0.3858462
   2.5132741   0.6283185   0.3849971
   2.8274334   0.6283185   0.3838815
   3.1415927   0.6283185   0.3832614
   0.0000000   1.2566371   0.3831752
   0.3141593   1.2566371   0.3835271
   0.6283185   1.2566371   0.3838915
   0.9424778   1.2566371   0.3837036
   1.2566371   1.2566371   0.3830279
   1.5707963   1.2566371   0.3826702
   1.8849556   1.2566371   0.3830279
   2.1991149   1.2566371   0.3837036
   2.5132741   1.2566371   0.3838915
   2.8274334   1.2566371   0.3835271
   3.1415927   1.2566371   0.3831752
   0.0000000   1.8849556   0.3831668
   0.3141593   1.8849556   0.3834315
   0.6283185   1.8849556   0.3836210
   0.9424778   1.8849556   0.3832641
   1.2566371   1.8849556   0.3824688
   1.5707963   1.8849556   0.3820572
   1.8849556   1.8849556   0.3824688
   2.1991149   1.8849556   0.3832640
   2.5132741   1.8849556   0.3836210
   2.8274334   1.8849556   0.3834314
   3.1415927   1.8849556   0.3831668
   0.0000000   2.5132741   0.3832035
   0.3141593   2.5132741   0.3836709
   0.6283185   2.5132741   0.3845447
   0.9424778   2.5132741   0.3852368
   1.2566371   2.5132741   0.3854313
   1.5707963   2.5132741   0.3854198
   1.8849556   2.5132741   0.3854313
   2.1991149   2.5132741   0.3852368
   2.5132741   2.5132741   0.3845446
   2.8274334   2.5132741   0.3836708
   3.1415927   2.5132741   0.3832035
   0.0000000   3.1415927   0.3832642
   0.3141593   3.1415927   0.3839052
   0.6283185   3.1415927   0.3851339
   0.9424778   3.1415927   0.3861402
   1.2566371   3.1415927   0.3864226
   1.5707963   3.1415927   0.3863672
   1.8849556   3.1415927   0.3864226
   2.1991149   3.1415927   0.3861401
   2.5132741   3.1415927   0.3851339
   2.8274334   3.1415927   0.3839052
   3.1415927   3.1415927   0.3832641
   0.0000000   3.7699112   0.3833390
   0.3141593   3.7699112   0.3839366
   0.6283185   3.7699112   0.3850799
   0.9424778   3.7699112   0.3860635
   1.2566371   3.7699112   0.3865399
   1.5707963   3.7699112   0.3866451
   1.8849556   3.7699112   0.3865399
   2.1991149   3.7699112   0.3860635
   2.5132741   3.7699112   0.3850799
   2.8274334   3.7699112   0.3839365
   3.1415927   3.7699112   0.3833390
   0.0000000   4.3982297   0.3834020
   0.3141593   4.3982297   0.3838161
   0.6283185   4.3982297   0.3843350
   0.9424778   4.3982297   0.3843643
   1.2566371   4.3982297   0.3839646
   1.5707963   4.3982297   0.3836970
   1.8849556   4.3982297   0.3839646
   2.1991149   4.3982297   0.3843642
   2.5132741   4.3982297   0.3843349
   2.8274334   4.3982297   0.3838161
   3.1415927   4.3982297   0.3834019
   0.0000000   5.0265482   0.3834145
   0.3141593   5.0265482   0.3838195
   0.6283185   5.0265482   0.3842705
   0.9424778   5.0265482   0.3841723
   1.2566371   5.0265482   0.3836642
   1.5707963   5.0265482   0.3833644
   1.8849556   5.0265482   0.3836642
   2.1991149   5.0265482   0.3841722
   2.5132741   5.0265482   0.3842705
   2.8274334   5.0265482   0.3838195
   3.1415927   5.0265482   0.3834145
   0.0000000   5.6548668   0.3834052
   0.3141593   5.6548668   0.3839991
   0.6283185   5.6548668   0.3849933
   0.9424778   5.6548668   0.3856534
   1.2566371   5.6548668   0.3858407
   1.5707963   5.6548668   0.3858388
   1.8849556   5.6548668   0.3858407
   2.1991149   5.6548668   0.3856534
   2.5132741   5.6548668   0.3849932
   2.8274334   5.6548668   0.3839991
   3.1415927   5.6548668   0.3834052
