#      theta         phi           r
   0.0000000   0.0000000   0.3609174
   0.3141593   0.0000000   0.3613002
   0.6283185   0.0000000   0.3619786
   0.9424778   0.0000000   0.3624629
   1.2566371   0.0000000   0.3625511
   1.5707963   0.0000000   0.3624551
   1.8849556   0.0000000   0.3625511
   2.1991149   0.0000000   0.3624629
   2.5132741   0.0000000   0.3619786
   2.8274334   0.0000000   0.3613002
   3.1415927   0.0000000   0.3609174
   0.0000000   0.6283185   0.3608292
   0.3141593   0.6283185   0.3611218
   0.6283185   0.6283185   0.3616784
   0.9424778   0.6283185   0.3621424
   1.2566371   0.6283185   0.3623235
   1.5707963   0.6283185   0.3623285
   1.8849556   0.6283185   0.3623235
   2.1991149   0.6283185   0.3621424
   2.5132741   0.6283185   0.3616784
   2.8274334   0.6283185   0.3611218
   3.1415927   0.6283185   0.3608293
   0.0000000   1.2566371   0.3607409
   0.3141593   1.2566371   0.3608907
   0.6283185   1.2566371   0.3610111
   0.9424778   1.2566371   0.3608617
   1.2566371   1.2566371   0.3605402
   1.5707963   1.2566371   0.3603633
   1.8849556   1.2566371   0.3605402
   2.1991149   1.2566371   0.3608617
   2.5132741   1.2566371   0.3610111
   2.8274334   1.2566371   0.3608908
   3.1415927   1.2566371   0.3607409
   0.0000000   1.8849556   0.3607507
   0.3141593   1.8849556   0.3608581
   0.6283185   1.8849556   0.3608642
   0.9424778   1.8849556   0.3605611
   1.2566371   1.8849556   0.3600960
   1.5707963   1.8849556   0.3598659
   1.8849556   1.8849556   0.3600960
   2.1991149   1.8849556   0.3605611
   2.5132741   1.8849556   0.3608642
   2.8274334   1.8849556   0.3608581
   3.1415927   1.8849556   0.3607507
   0.0000000   2.5132741   0.3608810
   0.3141593   2.5132741   0.3610989
   0.6283185   2.5132741   0.3614278
   0.9424778   2.5132741   0.3615704
   1.2566371   2.5132741   0.3614822
   1.5707963   2.5132741   0.3613944
   1.8849556   2.5132741   0.3614822
   2.1991149   2.5132741   0.3615704
   2.5132741   2.5132741   0.3614278
   2.8274334   2.5132741   0.3610989
   3.1415927   2.5132741   0.3608810
   0.0000000   3.1415927   0.3609731
   0.3141593   3.1415927   0.3613764
   0.6283185   3.1415927   0.3620443
   0.9424778   3.1415927   0.3624468
   1.2566371   3.1415927   0.3624320
   1.5707963   3.1415927   0.3623230
   1.8849556   3.1415927   0.3624320
   2.1991149   3.1415927   0.3624468
   2.5132741   3.1415927   0.3620443
   2.8274334   3.1415927   0.3613764
   3.1415927   3.1415927   0.3609731
   0.0000000   3.7699112   0.3610702
   0.3141593   3.7699112   0.3615419
   0.6283185   3.7699112   0.3623815
   0.9424778   3.7699112   0.3630144
   1.2566371   3.7699112   0.3632512
   1.5707963   3.7699112   0.3632697
   1.8849556   3.7699112   0.3632513
   2.1991149   3.7699112   0.3630144
   2.5132741   3.7699112   0.3623815
   2.8274334   3.7699112   0.3615419
   3.1415927   3.7699112   0.3610702
   0.0000000   4.3982297   0.3610574
   0.3141593   4.3982297   0.3614655
   0.6283185   4.3982297   0.3619519
   0.9424778   4.3982297   0.3619120
   1.2566371   4.3982297   0.3614110
   1.5707963   4.3982297   0.3611344
   1.8849556   4.3982297   0.3614110
   2.1991149   4.3982297   0.3619120
   2.5132741   4.3982297   0.3619520
   2.8274334   4.3982297   0.3614656
   3.1415927   4.3982297   0.3610574
   0.0000000   5.0265482   0.3610485
   0.3141593   5.0265482   0.3613893
   0.6283185   5.0265482   0.3617110
   0.9424778   5.0265482   0.3614766
   1.2566371   5.0265482   0.3608349
   1.5707963   5.0265482   0.3605058
   1.8849556   5.0265482   0.3608349
   2.1991149   5.0265482   0.3614766
   2.5132741   5.0265482   0.3617110
   2.8274334   5.0265482   0.3613893
   3.1415927   5.0265482   0.3610485
   0.0000000   5.6548668   0.3610182
   0.3141593   5.6548668   0.3613879
   0.6283185   5.6548668   0.3620052
   0.9424778   5.6548668   0.3623985
   1.2566371   5.6548668   0.3624507
   1.5707963   5.6548668   0.3623885
   1.8849556   5.6548668   0.3624507
   2.1991149   5.6548668   0.3623985
   2.5132741   5.6548668   0.3620052
   2.8274334   5.6548668   0.3613879
   3.1415927   5.6548668   0.3610182
