#      theta         phi           r
   0.0000000   0.0000000   0.2855129
   0.3141593   0.0000000   0.2864989
   0.6283185   0.0000000   0.2883289
   0.9424778   0.0000000   0.2898158
   1.2566371   0.0000000   0.2904447
   1.5707963   0.0000000   0.2907483
   1.8849556   0.0000000   0.2904446
   2.1991149   0.0000000   0.2898158
   2.5132741   0.0000000   0.2883289
   2.8274334   0.0000000   0.2864988
   3.1415927   0.0000000   0.2855129
   0.0000000   0.6283185   0.2854062
   0.3141593   0.6283185   0.2857951
   0.6283185   0.6283185   0.2862575
   0.9424778   0.6283185   0.2862322
   1.2566371   0.6283185   0.2858186
   1.5707963   0.6283185   0.2857642
   1.8849556   0.6283185   0.2858186
   2.1991149   0.6283185   0.2862322
   2.5132741   0.6283185   0.2862575
   2.8274334   0.6283185   0.2857951
   3.1415927   0.6283185   0.2854062
   0.0000000   1.2566371   0.2855887
   0.3141593   1.2566371   0.2852918
   0.6283185   1.2566371   0.2844149
   0.9424778   1.2566371   0.2830630
   1.2566371   1.2566371   0.2814546
   1.5707963   1.2566371   0.2809689
   1.8849556   1.2566371   0.2814546
   2.1991149   1.2566371   0.2830630
   2.5132741   1.2566371   0.2844148
   2.8274334   1.2566371   0.2852918
   3.1415927   1.2566371   0.2855887
   0.0000000   1.8849556   0.2856253
   0.3141593   1.8849556   0.2855584
   0.6283185   1.8849556   0.2852997
   0.9424778   1.8849556   0.2847517
   1.2566371   1.8849556   0.2838028
   1.5707963   1.8849556   0.2835698
   1.8849556   1.8849556   0.2838028
   2.1991149   1.8849556   0.2847517
   2.5132741   1.8849556   0.2852997
   2.8274334   1.8849556   0.2855584
   3.1415927   1.8849556   0.2856253
   0.0000000   2.5132741   0.2855176
   0.3141593   2.5132741   0.2862646
   0.6283185   2.5132741   0.2878633
   0.9424778   2.5132741   0.2894971
   1.2566371   2.5132741   0.2905451
   1.5707963   2.5132741   0.2910713
   1.8849556   2.5132741   0.2905451
   2.1991149   2.5132741   0.2894971
   2.5132741   2.5132741   0.2878633
   2.8274334   2.5132741   0.2862646
   3.1415927   2.5132741   0.2855176
   0.0000000   3.1415927   0.2856263
   0.3141593   3.1415927   0.2866380
   0.6283185   3.1415927   0.2887786
   0.9424778   3.1415927   0.2909340
   1.2566371   3.1415927   0.2922941
   1.5707963   3.1415927   0.2929301
   1.8849556   3.1415927   0.2922940
   2.1991149   3.1415927   0.2909340
   2.5132741   3.1415927   0.2887786
   2.8274334   3.1415927   0.2866380
   3.1415927   3.1415927   0.2856263
   0.0000000   3.7699112   0.2859074
   0.3141593   3.7699112   0.2865070
   0.6283185   3.7699112   0.2875883
   0.9424778   3.7699112   0.2884289
   1.2566371   3.7699112   0.2887778
   1.5707963   3.7699112   0.2890260
   1.8849556   3.7699112   0.2887778
   2.1991149   3.7699112   0.2884288
   2.5132741   3.7699112   0.2875883
   2.8274334   3.7699112   0.2865070
   3.1415927   3.7699112   0.2859074
   0.0000000   4.3982297   0.2862261
   0.3141593   4.3982297   0.2862361
   0.6283185   4.3982297   0.2859001
   0.9424778   4.3982297   0.2849870
   1.2566371   4.3982297   0.2836882
   1.5707963   4.3982297   0.2833060
   1.8849556   4.3982297   0.2836882
   2.1991149   4.3982297   0.2849869
   2.5132741   4.3982297   0.2859001
   2.8274334   4.3982297   0.2862361
   3.1415927   4.3982297   0.2862261
   0.0000000   5.0265482   0.2861903
   0.3141593   5.0265482   0.2864077
   0.6283185   5.0265482   0.2865616
   0.9424778   5.0265482   0.2862135
   1.2566371   5.0265482   0.2853368
   1.5707963   5.0265482   0.2851104
   1.8849556   5.0265482   0.2853368
   2.1991149   5.0265482   0.2862135
   2.5132741   5.0265482   0.2865616
   2.8274334   5.0265482   0.2864077
   3.1415927   5.0265482   0.2861903
   0.0000000   5.6548668   0.2857984
   0.3141593   5.6548668   0.2867529
   0.6283185   5.6548668   0.2885944
   0.9424778   5.6548668   0.2902322
   1.2566371   5.6548668   0.2911662
   1.5707963   5.6548668   0.2916333
   1.8849556   5.6548668   0.2911662
   2.1991149   5.6548668   0.2902322
   2.5132741   5.6548668   0.2885944
   2.8274334   5.6548668   0.2867529
   3.1415927   5.6548668   0.2857984
