#       time         integral Re         integral Im
#       r =             6.000000            6.000000
   0.0000000   -4.9366170573e-03    3.9203340877e-03
   0.1250000   -4.9018654977e-03    3.9074382442e-03
   0.2500000   -4.8733840355e-03    3.8894345515e-03
   0.3750000   -4.8429549920e-03    3.8663827956e-03
   0.5000000   -4.8115643942e-03    3.8378645334e-03
   0.6250000   -4.7776791343e-03    3.8035801272e-03
