#      theta         phi           r
   0.0000000   0.0000000   0.4084976
   0.3141593   0.0000000   0.4101065
   0.6283185   0.0000000   0.4129494
   0.9424778   0.0000000   0.4150305
   1.2566371   0.0000000   0.4156610
   1.5707963   0.0000000   0.4155939
   1.8849556   0.0000000   0.4156610
   2.1991149   0.0000000   0.4150305
   2.5132741   0.0000000   0.4129494
   2.8274334   0.0000000   0.4101065
   3.1415927   0.0000000   0.4084976
   0.0000000   0.6283185   0.4086339
   0.3141593   0.6283185   0.4097840
   0.6283185   0.6283185   0.4116212
   0.9424778   0.6283185   0.4127306
   1.2566371   0.6283185   0.4130371
   1.5707963   0.6283185   0.4130145
   1.8849556   0.6283185   0.4130371
   2.1991149   0.6283185   0.4127306
   2.5132741   0.6283185   0.4116211
   2.8274334   0.6283185   0.4097840
   3.1415927   0.6283185   0.4086339
   0.0000000   1.2566371   0.4087369
   0.3141593   1.2566371   0.4094605
   0.6283185   1.2566371   0.4100116
   0.9424778   1.2566371   0.4092574
   1.2566371   1.2566371   0.4077951
   1.5707963   1.2566371   0.4070471
   1.8849556   1.2566371   0.4077951
   2.1991149   1.2566371   0.4092574
   2.5132741   1.2566371   0.4100116
   2.8274334   1.2566371   0.4094605
   3.1415927   1.2566371   0.4087369
   0.0000000   1.8849556   0.4088046
   0.3141593   1.8849556   0.4097732
   0.6283185   1.8849556   0.4109491
   0.9424778   1.8849556   0.4109559
   1.2566371   1.8849556   0.4100423
   1.5707963   1.8849556   0.4094773
   1.8849556   1.8849556   0.4100423
   2.1991149   1.8849556   0.4109559
   2.5132741   1.8849556   0.4109491
   2.8274334   1.8849556   0.4097732
   3.1415927   1.8849556   0.4088046
   0.0000000   2.5132741   0.4088163
   0.3141593   2.5132741   0.4103582
   0.6283185   2.5132741   0.4132414
   0.9424778   2.5132741   0.4156851
   1.2566371   2.5132741   0.4170191
   1.5707963   2.5132741   0.4173702
   1.8849556   2.5132741   0.4170191
   2.1991149   2.5132741   0.4156851
   2.5132741   2.5132741   0.4132414
   2.8274334   2.5132741   0.4103582
   3.1415927   2.5132741   0.4088163
   0.0000000   3.1415927   0.4087091
   0.3141593   3.1415927   0.4103055
   0.6283185   3.1415927   0.4130916
   0.9424778   3.1415927   0.4150601
   1.2566371   3.1415927   0.4155328
   1.5707963   3.1415927   0.4154210
   1.8849556   3.1415927   0.4155328
   2.1991149   3.1415927   0.4150601
   2.5132741   3.1415927   0.4130916
   2.8274334   3.1415927   0.4103054
   3.1415927   3.1415927   0.4087091
   0.0000000   3.7699112   0.4086272
   0.3141593   3.7699112   0.4096905
   0.6283185   3.7699112   0.4112982
   0.9424778   3.7699112   0.4120736
   1.2566371   3.7699112   0.4119702
   1.5707963   3.7699112   0.4117422
   1.8849556   3.7699112   0.4119702
   2.1991149   3.7699112   0.4120735
   2.5132741   3.7699112   0.4112981
   2.8274334   3.7699112   0.4096905
   3.1415927   3.7699112   0.4086271
   0.0000000   4.3982297   0.4084596
   0.3141593   4.3982297   0.4091849
   0.6283185   4.3982297   0.4097944
   0.9424778   4.3982297   0.4091507
   1.2566371   4.3982297   0.4077325
   1.5707963   4.3982297   0.4069351
   1.8849556   4.3982297   0.4077325
   2.1991149   4.3982297   0.4091507
   2.5132741   4.3982297   0.4097943
   2.8274334   4.3982297   0.4091848
   3.1415927   4.3982297   0.4084596
   0.0000000   5.0265482   0.4083788
   0.3141593   5.0265482   0.4093667
   0.6283185   5.0265482   0.4106429
   0.9424778   5.0265482   0.4108406
   1.2566371   5.0265482   0.4101463
   1.5707963   5.0265482   0.4096351
   1.8849556   5.0265482   0.4101463
   2.1991149   5.0265482   0.4108406
   2.5132741   5.0265482   0.4106429
   2.8274334   5.0265482   0.4093667
   3.1415927   5.0265482   0.4083788
   0.0000000   5.6548668   0.4084398
   0.3141593   5.6548668   0.4099299
   0.6283185   5.6548668   0.4126777
   0.9424778   5.6548668   0.4149623
   1.2566371   5.6548668   0.4162127
   1.5707963   5.6548668   0.4165316
   1.8849556   5.6548668   0.4162127
   2.1991149   5.6548668   0.4149623
   2.5132741   5.6548668   0.4126777
   2.8274334   5.6548668   0.4099299
   3.1415927   5.6548668   0.4084398
