#      theta         phi           r
   0.0000000   0.0000000   0.3531605
   0.3141593   0.0000000   0.3543878
   0.6283185   0.0000000   0.3566739
   0.9424778   0.0000000   0.3585609
   1.2566371   0.0000000   0.3594394
   1.5707963   0.0000000   0.3597110
   1.8849556   0.0000000   0.3594394
   2.1991149   0.0000000   0.3585609
   2.5132741   0.0000000   0.3566739
   2.8274334   0.0000000   0.3543878
   3.1415927   0.0000000   0.3531605
   0.0000000   0.6283185   0.3531576
   0.3141593   0.6283185   0.3537269
   0.6283185   0.6283185   0.3545326
   0.9424778   0.6283185   0.3547891
   1.2566371   0.6283185   0.3544683
   1.5707963   0.6283185   0.3543033
   1.8849556   0.6283185   0.3544683
   2.1991149   0.6283185   0.3547891
   2.5132741   0.6283185   0.3545326
   2.8274334   0.6283185   0.3537269
   3.1415927   0.6283185   0.3531576
   0.0000000   1.2566371   0.3530996
   0.3141593   1.2566371   0.3533041
   0.6283185   1.2566371   0.3532296
   0.9424778   1.2566371   0.3524393
   1.2566371   1.2566371   0.3512890
   1.5707963   1.2566371   0.3508054
   1.8849556   1.2566371   0.3512890
   2.1991149   1.2566371   0.3524393
   2.5132741   1.2566371   0.3532296
   2.8274334   1.2566371   0.3533041
   3.1415927   1.2566371   0.3530996
   0.0000000   1.8849556   0.3530810
   0.3141593   1.8849556   0.3536239
   0.6283185   1.8849556   0.3544723
   0.9424778   1.8849556   0.3549014
   1.2566371   1.8849556   0.3547801
   1.5707963   1.8849556   0.3547036
   1.8849556   1.8849556   0.3547801
   2.1991149   1.8849556   0.3549014
   2.5132741   1.8849556   0.3544723
   2.8274334   1.8849556   0.3536239
   3.1415927   1.8849556   0.3530810
   0.0000000   2.5132741   0.3530993
   0.3141593   2.5132741   0.3542220
   0.6283185   2.5132741   0.3566267
   0.9424778   2.5132741   0.3590982
   1.2566371   2.5132741   0.3607273
   1.5707963   2.5132741   0.3613392
   1.8849556   2.5132741   0.3607273
   2.1991149   2.5132741   0.3590982
   2.5132741   2.5132741   0.3566267
   2.8274334   2.5132741   0.3542220
   3.1415927   2.5132741   0.3530993
   0.0000000   3.1415927   0.3531180
   0.3141593   3.1415927   0.3542952
   0.6283185   3.1415927   0.3566951
   0.9424778   3.1415927   0.3589934
   1.2566371   3.1415927   0.3603637
   1.5707963   3.1415927   0.3608034
   1.8849556   3.1415927   0.3603637
   2.1991149   3.1415927   0.3589934
   2.5132741   3.1415927   0.3566951
   2.8274334   3.1415927   0.3542952
   3.1415927   3.1415927   0.3531180
   0.0000000   3.7699112   0.3532406
   0.3141593   3.7699112   0.3538246
   0.6283185   3.7699112   0.3548740
   0.9424778   3.7699112   0.3556687
   1.2566371   3.7699112   0.3559330
   1.5707963   3.7699112   0.3560145
   1.8849556   3.7699112   0.3559330
   2.1991149   3.7699112   0.3556687
   2.5132741   3.7699112   0.3548740
   2.8274334   3.7699112   0.3538246
   3.1415927   3.7699112   0.3532406
   0.0000000   4.3982297   0.3531448
   0.3141593   4.3982297   0.3534643
   0.6283185   4.3982297   0.3533898
   0.9424778   4.3982297   0.3523361
   1.2566371   4.3982297   0.3510045
   1.5707963   4.3982297   0.3504607
   1.8849556   4.3982297   0.3510045
   2.1991149   4.3982297   0.3523361
   2.5132741   4.3982297   0.3533898
   2.8274334   4.3982297   0.3534643
   3.1415927   4.3982297   0.3531448
   0.0000000   5.0265482   0.3531403
   0.3141593   5.0265482   0.3538506
   0.6283185   5.0265482   0.3546903
   0.9424778   5.0265482   0.3546825
   1.2566371   5.0265482   0.3541300
   1.5707963   5.0265482   0.3538524
   1.8849556   5.0265482   0.3541300
   2.1991149   5.0265482   0.3546825
   2.5132741   5.0265482   0.3546903
   2.8274334   5.0265482   0.3538506
   3.1415927   5.0265482   0.3531403
   0.0000000   5.6548668   0.3532822
   0.3141593   5.6548668   0.3544856
   0.6283185   5.6548668   0.3570000
   0.9424778   5.6548668   0.3594925
   1.2566371   5.6548668   0.3610443
   1.5707963   5.6548668   0.3615920
   1.8849556   5.6548668   0.3610443
   2.1991149   5.6548668   0.3594925
   2.5132741   5.6548668   0.3570000
   2.8274334   5.6548668   0.3544856
   3.1415927   5.6548668   0.3532822
