#      theta         phi           r
   0.0000000   0.0000000   0.3761089
   0.3141593   0.0000000   0.3773006
   0.6283185   0.0000000   0.3795282
   0.9424778   0.0000000   0.3813202
   1.2566371   0.0000000   0.3819386
   1.5707963   0.0000000   0.3820285
   1.8849556   0.0000000   0.3819386
   2.1991149   0.0000000   0.3813202
   2.5132741   0.0000000   0.3795282
   2.8274334   0.0000000   0.3773006
   3.1415927   0.0000000   0.3761089
   0.0000000   0.6283185   0.3762806
   0.3141593   0.6283185   0.3770361
   0.6283185   0.6283185   0.3781688
   0.9424778   0.6283185   0.3786936
   1.2566371   0.6283185   0.3785799
   1.5707963   0.6283185   0.3784432
   1.8849556   0.6283185   0.3785799
   2.1991149   0.6283185   0.3786936
   2.5132741   0.6283185   0.3781688
   2.8274334   0.6283185   0.3770361
   3.1415927   0.6283185   0.3762806
   0.0000000   1.2566371   0.3765315
   0.3141593   1.2566371   0.3769715
   0.6283185   1.2566371   0.3770792
   0.9424778   1.2566371   0.3760647
   1.2566371   1.2566371   0.3745104
   1.5707963   1.2566371   0.3737693
   1.8849556   1.2566371   0.3745104
   2.1991149   1.2566371   0.3760647
   2.5132741   1.2566371   0.3770792
   2.8274334   1.2566371   0.3769715
   3.1415927   1.2566371   0.3765315
   0.0000000   1.8849556   0.3766191
   0.3141593   1.8849556   0.3775287
   0.6283185   1.8849556   0.3787171
   0.9424778   1.8849556   0.3789203
   1.2566371   1.8849556   0.3782699
   1.5707963   1.8849556   0.3778635
   1.8849556   1.8849556   0.3782699
   2.1991149   1.8849556   0.3789203
   2.5132741   1.8849556   0.3787171
   2.8274334   1.8849556   0.3775287
   3.1415927   1.8849556   0.3766191
   0.0000000   2.5132741   0.3765090
   0.3141593   2.5132741   0.3781091
   0.6283185   2.5132741   0.3811542
   0.9424778   2.5132741   0.3838197
   1.2566371   2.5132741   0.3853588
   1.5707963   2.5132741   0.3858412
   1.8849556   2.5132741   0.3853588
   2.1991149   2.5132741   0.3838197
   2.5132741   2.5132741   0.3811542
   2.8274334   2.5132741   0.3781091
   3.1415927   2.5132741   0.3765090
   0.0000000   3.1415927   0.3763522
   0.3141593   3.1415927   0.3778467
   0.6283185   3.1415927   0.3804156
   0.9424778   3.1415927   0.3822204
   1.2566371   3.1415927   0.3828014
   1.5707963   3.1415927   0.3827981
   1.8849556   3.1415927   0.3828014
   2.1991149   3.1415927   0.3822204
   2.5132741   3.1415927   0.3804156
   2.8274334   3.1415927   0.3778467
   3.1415927   3.1415927   0.3763522
   0.0000000   3.7699112   0.3762213
   0.3141593   3.7699112   0.3769920
   0.6283185   3.7699112   0.3779727
   0.9424778   3.7699112   0.3781098
   1.2566371   3.7699112   0.3776073
   1.5707963   3.7699112   0.3773150
   1.8849556   3.7699112   0.3776073
   2.1991149   3.7699112   0.3781098
   2.5132741   3.7699112   0.3779727
   2.8274334   3.7699112   0.3769920
   3.1415927   3.7699112   0.3762213
   0.0000000   4.3982297   0.3760374
   0.3141593   4.3982297   0.3764155
   0.6283185   4.3982297   0.3764601
   0.9424778   4.3982297   0.3754835
   1.2566371   4.3982297   0.3740601
   1.5707963   4.3982297   0.3733994
   1.8849556   4.3982297   0.3740601
   2.1991149   4.3982297   0.3754835
   2.5132741   4.3982297   0.3764601
   2.8274334   4.3982297   0.3764155
   3.1415927   4.3982297   0.3760374
   0.0000000   5.0265482   0.3759310
   0.3141593   5.0265482   0.3766238
   0.6283185   5.0265482   0.3775988
   0.9424778   5.0265482   0.3779213
   1.2566371   5.0265482   0.3776169
   1.5707963   5.0265482   0.3773823
   1.8849556   5.0265482   0.3776169
   2.1991149   5.0265482   0.3779213
   2.5132741   5.0265482   0.3775988
   2.8274334   5.0265482   0.3766238
   3.1415927   5.0265482   0.3759310
   0.0000000   5.6548668   0.3759767
   0.3141593   5.6548668   0.3771733
   0.6283185   5.6548668   0.3795915
   0.9424778   5.6548668   0.3818959
   1.2566371   5.6548668   0.3833131
   1.5707963   5.6548668   0.3837620
   1.8849556   5.6548668   0.3833131
   2.1991149   5.6548668   0.3818959
   2.5132741   5.6548668   0.3795915
   2.8274334   5.6548668   0.3771733
   3.1415927   5.6548668   0.3759767
