#      theta         phi           r
   0.0000000   0.0000000   0.3873491
   0.3141593   0.0000000   0.3887746
   0.6283185   0.0000000   0.3912774
   0.9424778   0.0000000   0.3930884
   1.2566371   0.0000000   0.3936271
   1.5707963   0.0000000   0.3935324
   1.8849556   0.0000000   0.3936271
   2.1991149   0.0000000   0.3930884
   2.5132741   0.0000000   0.3912774
   2.8274334   0.0000000   0.3887746
   3.1415927   0.0000000   0.3873491
   0.0000000   0.6283185   0.3875265
   0.3141593   0.6283185   0.3884425
   0.6283185   0.6283185   0.3898793
   0.9424778   0.6283185   0.3906540
   1.2566371   0.6283185   0.3906291
   1.5707963   0.6283185   0.3904557
   1.8849556   0.6283185   0.3906291
   2.1991149   0.6283185   0.3906540
   2.5132741   0.6283185   0.3898793
   2.8274334   0.6283185   0.3884425
   3.1415927   0.6283185   0.3875265
   0.0000000   1.2566371   0.3875703
   0.3141593   1.2566371   0.3882425
   0.6283185   1.2566371   0.3886365
   0.9424778   1.2566371   0.3876761
   1.2566371   1.2566371   0.3860949
   1.5707963   1.2566371   0.3853109
   1.8849556   1.2566371   0.3860949
   2.1991149   1.2566371   0.3876761
   2.5132741   1.2566371   0.3886365
   2.8274334   1.2566371   0.3882425
   3.1415927   1.2566371   0.3875703
   0.0000000   1.8849556   0.3876230
   0.3141593   1.8849556   0.3886921
   0.6283185   1.8849556   0.3900281
   0.9424778   1.8849556   0.3901600
   1.2566371   1.8849556   0.3893984
   1.5707963   1.8849556   0.3889032
   1.8849556   1.8849556   0.3893984
   2.1991149   1.8849556   0.3901600
   2.5132741   1.8849556   0.3900281
   2.8274334   1.8849556   0.3886921
   3.1415927   1.8849556   0.3876230
   0.0000000   2.5132741   0.3876358
   0.3141593   2.5132741   0.3892489
   0.6283185   2.5132741   0.3922952
   0.9424778   2.5132741   0.3949023
   1.2566371   2.5132741   0.3962866
   1.5707963   2.5132741   0.3966857
   1.8849556   2.5132741   0.3962866
   2.1991149   2.5132741   0.3949023
   2.5132741   2.5132741   0.3922952
   2.8274334   2.5132741   0.3892489
   3.1415927   2.5132741   0.3876358
   0.0000000   3.1415927   0.3874904
   0.3141593   3.1415927   0.3890385
   0.6283185   3.1415927   0.3916029
   0.9424778   3.1415927   0.3932391
   1.2566371   3.1415927   0.3935686
   1.5707963   3.1415927   0.3934198
   1.8849556   3.1415927   0.3935686
   2.1991149   3.1415927   0.3932391
   2.5132741   3.1415927   0.3916029
   2.8274334   3.1415927   0.3890385
   3.1415927   3.1415927   0.3874904
   0.0000000   3.7699112   0.3874821
   0.3141593   3.7699112   0.3883092
   0.6283185   3.7699112   0.3893883
   0.9424778   3.7699112   0.3895502
   1.2566371   3.7699112   0.3888712
   1.5707963   3.7699112   0.3884772
   1.8849556   3.7699112   0.3888712
   2.1991149   3.7699112   0.3895502
   2.5132741   3.7699112   0.3893883
   2.8274334   3.7699112   0.3883092
   3.1415927   3.7699112   0.3874821
   0.0000000   4.3982297   0.3873911
   0.3141593   4.3982297   0.3878619
   0.6283185   4.3982297   0.3880960
   0.9424778   4.3982297   0.3872563
   1.2566371   4.3982297   0.3857473
   1.5707963   4.3982297   0.3849811
   1.8849556   4.3982297   0.3857473
   2.1991149   4.3982297   0.3872563
   2.5132741   4.3982297   0.3880960
   2.8274334   4.3982297   0.3878619
   3.1415927   4.3982297   0.3873911
   0.0000000   5.0265482   0.3873205
   0.3141593   5.0265482   0.3881314
   0.6283185   5.0265482   0.3893132
   0.9424778   5.0265482   0.3897415
   1.2566371   5.0265482   0.3892941
   1.5707963   5.0265482   0.3889549
   1.8849556   5.0265482   0.3892941
   2.1991149   5.0265482   0.3897415
   2.5132741   5.0265482   0.3893132
   2.8274334   5.0265482   0.3881314
   3.1415927   5.0265482   0.3873205
   0.0000000   5.6548668   0.3873442
   0.3141593   5.6548668   0.3886809
   0.6283185   5.6548668   0.3913171
   0.9424778   5.6548668   0.3936994
   1.2566371   5.6548668   0.3949512
   1.5707963   5.6548668   0.3952609
   1.8849556   5.6548668   0.3949512
   2.1991149   5.6548668   0.3936994
   2.5132741   5.6548668   0.3913171
   2.8274334   5.6548668   0.3886809
   3.1415927   5.6548668   0.3873442
