#      theta         phi           r
   0.0000000   0.0000000   0.3985062
   0.3141593   0.0000000   0.4001474
   0.6283185   0.0000000   0.4029080
   0.9424778   0.0000000   0.4047312
   1.2566371   0.0000000   0.4051423
   1.5707963   0.0000000   0.4049849
   1.8849556   0.0000000   0.4051423
   2.1991149   0.0000000   0.4047312
   2.5132741   0.0000000   0.4029080
   2.8274334   0.0000000   0.4001474
   3.1415927   0.0000000   0.3985062
   0.0000000   0.6283185   0.3984811
   0.3141593   0.6283185   0.3994975
   0.6283185   0.6283185   0.4009351
   0.9424778   0.6283185   0.4014364
   1.2566371   0.6283185   0.4010564
   1.5707963   0.6283185   0.4007180
   1.8849556   0.6283185   0.4010564
   2.1991149   0.6283185   0.4014364
   2.5132741   0.6283185   0.4009351
   2.8274334   0.6283185   0.3994975
   3.1415927   0.6283185   0.3984811
   0.0000000   1.2566371   0.3983270
   0.3141593   1.2566371   0.3990014
   0.6283185   1.2566371   0.3995385
   0.9424778   1.2566371   0.3988572
   1.2566371   1.2566371   0.3974071
   1.5707963   1.2566371   0.3966236
   1.8849556   1.2566371   0.3974071
   2.1991149   1.2566371   0.3988572
   2.5132741   1.2566371   0.3995385
   2.8274334   1.2566371   0.3990014
   3.1415927   1.2566371   0.3983270
   0.0000000   1.8849556   0.3982419
   0.3141593   1.8849556   0.3991820
   0.6283185   1.8849556   0.4004866
   0.9424778   1.8849556   0.4008570
   1.2566371   1.8849556   0.4002949
   1.5707963   1.8849556   0.3998444
   1.8849556   1.8849556   0.4002949
   2.1991149   1.8849556   0.4008570
   2.5132741   1.8849556   0.4004866
   2.8274334   1.8849556   0.3991820
   3.1415927   1.8849556   0.3982419
   0.0000000   2.5132741   0.3982131
   0.3141593   2.5132741   0.3996747
   0.6283185   2.5132741   0.4024182
   0.9424778   2.5132741   0.4047422
   1.2566371   2.5132741   0.4059606
   1.5707963   2.5132741   0.4062867
   1.8849556   2.5132741   0.4059606
   2.1991149   2.5132741   0.4047422
   2.5132741   2.5132741   0.4024182
   2.8274334   2.5132741   0.3996747
   3.1415927   2.5132741   0.3982131
   0.0000000   3.1415927   0.3981710
   0.3141593   3.1415927   0.3997419
   0.6283185   3.1415927   0.4024391
   0.9424778   3.1415927   0.4043077
   1.2566371   3.1415927   0.4048163
   1.5707963   3.1415927   0.4046798
   1.8849556   3.1415927   0.4048163
   2.1991149   3.1415927   0.4043077
   2.5132741   3.1415927   0.4024391
   2.8274334   3.1415927   0.3997419
   3.1415927   3.1415927   0.3981710
   0.0000000   3.7699112   0.3983707
   0.3141593   3.7699112   0.3993819
   0.6283185   3.7699112   0.4009827
   0.9424778   3.7699112   0.4018879
   1.2566371   3.7699112   0.4019645
   1.5707963   3.7699112   0.4018672
   1.8849556   3.7699112   0.4019645
   2.1991149   3.7699112   0.4018879
   2.5132741   3.7699112   0.4009827
   2.8274334   3.7699112   0.3993819
   3.1415927   3.7699112   0.3983707
   0.0000000   4.3982297   0.3984115
   0.3141593   4.3982297   0.3991307
   0.6283185   4.3982297   0.3995814
   0.9424778   4.3982297   0.3986326
   1.2566371   4.3982297   0.3970592
   1.5707963   4.3982297   0.3962618
   1.8849556   4.3982297   0.3970592
   2.1991149   4.3982297   0.3986326
   2.5132741   4.3982297   0.3995814
   2.8274334   4.3982297   0.3991307
   3.1415927   4.3982297   0.3984115
   0.0000000   5.0265482   0.3984771
   0.3141593   5.0265482   0.3995700
   0.6283185   5.0265482   0.4008769
   0.9424778   5.0265482   0.4008846
   1.2566371   5.0265482   0.4000049
   1.5707963   5.0265482   0.3994609
   1.8849556   5.0265482   0.4000049
   2.1991149   5.0265482   0.4008846
   2.5132741   5.0265482   0.4008769
   2.8274334   5.0265482   0.3995700
   3.1415927   5.0265482   0.3984771
   0.0000000   5.6548668   0.3986252
   0.3141593   5.6548668   0.4002221
   0.6283185   5.6548668   0.4032561
   0.9424778   5.6548668   0.4058801
   1.2566371   5.6548668   0.4072978
   1.5707963   5.6548668   0.4076660
   1.8849556   5.6548668   0.4072978
   2.1991149   5.6548668   0.4058801
   2.5132741   5.6548668   0.4032561
   2.8274334   5.6548668   0.4002221
   3.1415927   5.6548668   0.3986252
