#      theta         phi           r
   0.0000000   0.0000000   0.2735816
   0.3141593   0.0000000   0.2733978
   0.6283185   0.0000000   0.2731342
   0.9424778   0.0000000   0.2730403
   1.2566371   0.0000000   0.2731223
   1.5707963   0.0000000   0.2730845
   1.8849556   0.0000000   0.2731223
   2.1991149   0.0000000   0.2730403
   2.5132741   0.0000000   0.2731342
   2.8274334   0.0000000   0.2733978
   3.1415927   0.0000000   0.2735816
   0.0000000   0.6283185   0.2736185
   0.3141593   0.6283185   0.2736073
   0.6283185   0.6283185   0.2735870
   0.9424778   0.6283185   0.2736038
   1.2566371   0.6283185   0.2737381
   1.5707963   0.6283185   0.2737416
   1.8849556   0.6283185   0.2737381
   2.1991149   0.6283185   0.2736037
   2.5132741   0.6283185   0.2735870
   2.8274334   0.6283185   0.2736073
   3.1415927   0.6283185   0.2736185
   0.0000000   1.2566371   0.2736885
   0.3141593   1.2566371   0.2737334
   0.6283185   1.2566371   0.2738755
   0.9424778   1.2566371   0.2741046
   1.2566371   1.2566371   0.2743822
   1.5707963   1.2566371   0.2744474
   1.8849556   1.2566371   0.2743822
   2.1991149   1.2566371   0.2741046
   2.5132741   1.2566371   0.2738755
   2.8274334   1.2566371   0.2737334
   3.1415927   1.2566371   0.2736885
   0.0000000   1.8849556   0.2736724
   0.3141593   1.8849556   0.2737006
   0.6283185   1.8849556   0.2737943
   0.9424778   1.8849556   0.2739580
   1.2566371   1.8849556   0.2741839
   1.5707963   1.8849556   0.2742300
   1.8849556   1.8849556   0.2741839
   2.1991149   1.8849556   0.2739580
   2.5132741   1.8849556   0.2737943
   2.8274334   1.8849556   0.2737006
   3.1415927   1.8849556   0.2736724
   0.0000000   2.5132741   0.2735857
   0.3141593   2.5132741   0.2735342
   0.6283185   2.5132741   0.2734257
   0.9424778   2.5132741   0.2733436
   1.2566371   2.5132741   0.2733912
   1.5707963   2.5132741   0.2733636
   1.8849556   2.5132741   0.2733912
   2.1991149   2.5132741   0.2733436
   2.5132741   2.5132741   0.2734257
   2.8274334   2.5132741   0.2735342
   3.1415927   2.5132741   0.2735857
   0.0000000   3.1415927   0.2735353
   0.3141593   3.1415927   0.2733375
   0.6283185   3.1415927   0.2730419
   0.9424778   3.1415927   0.2729075
   1.2566371   3.1415927   0.2729424
   1.5707963   3.1415927   0.2728891
   1.8849556   3.1415927   0.2729424
   2.1991149   3.1415927   0.2729075
   2.5132741   3.1415927   0.2730419
   2.8274334   3.1415927   0.2733375
   3.1415927   3.1415927   0.2735353
   0.0000000   3.7699112   0.2734525
   0.3141593   3.7699112   0.2732193
   0.6283185   3.7699112   0.2728253
   0.9424778   3.7699112   0.2725734
   1.2566371   3.7699112   0.2725589
   1.5707963   3.7699112   0.2725216
   1.8849556   3.7699112   0.2725589
   2.1991149   3.7699112   0.2725734
   2.5132741   3.7699112   0.2728253
   2.8274334   3.7699112   0.2732193
   3.1415927   3.7699112   0.2734525
   0.0000000   4.3982297   0.2733121
   0.3141593   4.3982297   0.2731055
   0.6283185   4.3982297   0.2727750
   0.9424778   4.3982297   0.2725719
   1.2566371   4.3982297   0.2725039
   1.5707963   4.3982297   0.2724128
   1.8849556   4.3982297   0.2725039
   2.1991149   4.3982297   0.2725719
   2.5132741   4.3982297   0.2727750
   2.8274334   4.3982297   0.2731055
   3.1415927   4.3982297   0.2733121
   0.0000000   5.0265482   0.2733300
   0.3141593   5.0265482   0.2731088
   0.6283185   5.0265482   0.2727500
   0.9424778   5.0265482   0.2725195
   1.2566371   5.0265482   0.2724274
   1.5707963   5.0265482   0.2723260
   1.8849556   5.0265482   0.2724274
   2.1991149   5.0265482   0.2725195
   2.5132741   5.0265482   0.2727500
   2.8274334   5.0265482   0.2731088
   3.1415927   5.0265482   0.2733300
   0.0000000   5.6548668   0.2734875
   0.3141593   5.6548668   0.2732446
   0.6283185   5.6548668   0.2728145
   0.9424778   5.6548668   0.2725092
   1.2566371   5.6548668   0.2724600
   1.5707963   5.6548668   0.2724076
   1.8849556   5.6548668   0.2724600
   2.1991149   5.6548668   0.2725091
   2.5132741   5.6548668   0.2728145
   2.8274334   5.6548668   0.2732446
   3.1415927   5.6548668   0.2734875
