#      theta         phi           r
   0.0000000   0.0000000   0.2244497
   0.3141593   0.0000000   0.2251161
   0.6283185   0.0000000   0.2266105
   0.9424778   0.0000000   0.2282424
   1.2566371   0.0000000   0.2294107
   1.5707963   0.0000000   0.2300304
   1.8849556   0.0000000   0.2294107
   2.1991149   0.0000000   0.2282424
   2.5132741   0.0000000   0.2266105
   2.8274334   0.0000000   0.2251161
   3.1415927   0.0000000   0.2244497
   0.0000000   0.6283185   0.2247939
   0.3141593   0.6283185   0.2249379
   0.6283185   0.6283185   0.2253073
   0.9424778   0.6283185   0.2256712
   1.2566371   0.6283185   0.2256155
   1.5707963   0.6283185   0.2257190
   1.8849556   0.6283185   0.2256155
   2.1991149   0.6283185   0.2256712
   2.5132741   0.6283185   0.2253073
   2.8274334   0.6283185   0.2249379
   3.1415927   0.6283185   0.2247939
   0.0000000   1.2566371   0.2251045
   0.3141593   1.2566371   0.2248372
   0.6283185   1.2566371   0.2242413
   0.9424778   1.2566371   0.2234102
   1.2566371   1.2566371   0.2221485
   1.5707963   1.2566371   0.2216961
   1.8849556   1.2566371   0.2221485
   2.1991149   1.2566371   0.2234102
   2.5132741   1.2566371   0.2242413
   2.8274334   1.2566371   0.2248372
   3.1415927   1.2566371   0.2251045
   0.0000000   1.8849556   0.2253206
   0.3141593   1.8849556   0.2253378
   0.6283185   1.8849556   0.2253823
   0.9424778   1.8849556   0.2252527
   1.2566371   1.8849556   0.2244926
   1.5707963   1.8849556   0.2242325
   1.8849556   1.8849556   0.2244926
   2.1991149   1.8849556   0.2252527
   2.5132741   1.8849556   0.2253823
   2.8274334   1.8849556   0.2253377
   3.1415927   1.8849556   0.2253206
   0.0000000   2.5132741   0.2253869
   0.3141593   2.5132741   0.2260319
   0.6283185   2.5132741   0.2276079
   0.9424778   2.5132741   0.2293679
   1.2566371   2.5132741   0.2302868
   1.5707963   2.5132741   0.2307243
   1.8849556   2.5132741   0.2302868
   2.1991149   2.5132741   0.2293679
   2.5132741   2.5132741   0.2276079
   2.8274334   2.5132741   0.2260319
   3.1415927   2.5132741   0.2253869
   0.0000000   3.1415927   0.2251127
   0.3141593   3.1415927   0.2260680
   0.6283185   3.1415927   0.2279953
   0.9424778   3.1415927   0.2297755
   1.2566371   3.1415927   0.2306755
   1.5707963   3.1415927   0.2311531
   1.8849556   3.1415927   0.2306755
   2.1991149   3.1415927   0.2297755
   2.5132741   3.1415927   0.2279953
   2.8274334   3.1415927   0.2260680
   3.1415927   3.1415927   0.2251127
   0.0000000   3.7699112   0.2250394
   0.3141593   3.7699112   0.2253636
   0.6283185   3.7699112   0.2260849
   0.9424778   3.7699112   0.2267089
   1.2566371   3.7699112   0.2265847
   1.5707963   3.7699112   0.2265812
   1.8849556   3.7699112   0.2265847
   2.1991149   3.7699112   0.2267089
   2.5132741   3.7699112   0.2260849
   2.8274334   3.7699112   0.2253636
   3.1415927   3.7699112   0.2250394
   0.0000000   4.3982297   0.2246526
   0.3141593   4.3982297   0.2246305
   0.6283185   4.3982297   0.2241835
   0.9424778   4.3982297   0.2231910
   1.2566371   4.3982297   0.2221330
   1.5707963   4.3982297   0.2218651
   1.8849556   4.3982297   0.2221330
   2.1991149   4.3982297   0.2231910
   2.5132741   4.3982297   0.2241835
   2.8274334   4.3982297   0.2246305
   3.1415927   4.3982297   0.2246526
   0.0000000   5.0265482   0.2244209
   0.3141593   5.0265482   0.2245235
   0.6283185   5.0265482   0.2244560
   0.9424778   5.0265482   0.2239975
   1.2566371   5.0265482   0.2233833
   1.5707963   5.0265482   0.2232975
   1.8849556   5.0265482   0.2233833
   2.1991149   5.0265482   0.2239975
   2.5132741   5.0265482   0.2244560
   2.8274334   5.0265482   0.2245235
   3.1415927   5.0265482   0.2244209
   0.0000000   5.6548668   0.2244388
   0.3141593   5.6548668   0.2249170
   0.6283185   5.6548668   0.2261507
   0.9424778   5.6548668   0.2275775
   1.2566371   5.6548668   0.2282874
   1.5707963   5.6548668   0.2286795
   1.8849556   5.6548668   0.2282874
   2.1991149   5.6548668   0.2275775
   2.5132741   5.6548668   0.2261507
   2.8274334   5.6548668   0.2249170
   3.1415927   5.6548668   0.2244388
