#      theta         phi           r
   0.0000000   0.0000000   0.3354597
   0.3141593   0.0000000   0.3357441
   0.6283185   0.0000000   0.3361765
   0.9424778   0.0000000   0.3363711
   1.2566371   0.0000000   0.3362690
   1.5707963   0.0000000   0.3361769
   1.8849556   0.0000000   0.3362690
   2.1991149   0.0000000   0.3363711
   2.5132741   0.0000000   0.3361765
   2.8274334   0.0000000   0.3357441
   3.1415927   0.0000000   0.3354597
   0.0000000   0.6283185   0.3353738
   0.3141593   0.6283185   0.3356788
   0.6283185   0.6283185   0.3361531
   0.9424778   0.6283185   0.3364262
   1.2566371   0.6283185   0.3365156
   1.5707963   0.6283185   0.3364989
   1.8849556   0.6283185   0.3365156
   2.1991149   0.6283185   0.3364262
   2.5132741   0.6283185   0.3361531
   2.8274334   0.6283185   0.3356788
   3.1415927   0.6283185   0.3353738
   0.0000000   1.2566371   0.3353070
   0.3141593   1.2566371   0.3355606
   0.6283185   1.2566371   0.3358054
   0.9424778   1.2566371   0.3356897
   1.2566371   1.2566371   0.3354236
   1.5707963   1.2566371   0.3352420
   1.8849556   1.2566371   0.3354236
   2.1991149   1.2566371   0.3356897
   2.5132741   1.2566371   0.3358054
   2.8274334   1.2566371   0.3355606
   3.1415927   1.2566371   0.3353070
   0.0000000   1.8849556   0.3352919
   0.3141593   1.8849556   0.3355084
   0.6283185   1.8849556   0.3356345
   0.9424778   1.8849556   0.3353531
   1.2566371   1.8849556   0.3349711
   1.5707963   1.8849556   0.3347452
   1.8849556   1.8849556   0.3349711
   2.1991149   1.8849556   0.3353531
   2.5132741   1.8849556   0.3356345
   2.8274334   1.8849556   0.3355084
   3.1415927   1.8849556   0.3352919
   0.0000000   2.5132741   0.3353527
   0.3141593   2.5132741   0.3355785
   0.6283185   2.5132741   0.3358656
   0.9424778   2.5132741   0.3359198
   1.2566371   2.5132741   0.3358345
   1.5707963   2.5132741   0.3357464
   1.8849556   2.5132741   0.3358345
   2.1991149   2.5132741   0.3359198
   2.5132741   2.5132741   0.3358656
   2.8274334   2.5132741   0.3355785
   3.1415927   2.5132741   0.3353527
   0.0000000   3.1415927   0.3354232
   0.3141593   3.1415927   0.3357136
   0.6283185   3.1415927   0.3361693
   0.9424778   3.1415927   0.3364141
   1.2566371   3.1415927   0.3364011
   1.5707963   3.1415927   0.3363386
   1.8849556   3.1415927   0.3364011
   2.1991149   3.1415927   0.3364141
   2.5132741   3.1415927   0.3361693
   2.8274334   3.1415927   0.3357136
   3.1415927   3.1415927   0.3354232
   0.0000000   3.7699112   0.3354775
   0.3141593   3.7699112   0.3357960
   0.6283185   3.7699112   0.3363789
   0.9424778   3.7699112   0.3368536
   1.2566371   3.7699112   0.3370971
   1.5707963   3.7699112   0.3371410
   1.8849556   3.7699112   0.3370971
   2.1991149   3.7699112   0.3368536
   2.5132741   3.7699112   0.3363788
   2.8274334   3.7699112   0.3357960
   3.1415927   3.7699112   0.3354775
   0.0000000   4.3982297   0.3353871
   0.3141593   4.3982297   0.3357730
   0.6283185   4.3982297   0.3363062
   0.9424778   4.3982297   0.3365286
   1.2566371   4.3982297   0.3366204
   1.5707963   4.3982297   0.3366192
   1.8849556   4.3982297   0.3366204
   2.1991149   4.3982297   0.3365286
   2.5132741   4.3982297   0.3363062
   2.8274334   4.3982297   0.3357730
   3.1415927   4.3982297   0.3353871
   0.0000000   5.0265482   0.3354031
   0.3141593   5.0265482   0.3357326
   0.6283185   5.0265482   0.3361446
   0.9424778   5.0265482   0.3362327
   1.2566371   5.0265482   0.3362016
   1.5707963   5.0265482   0.3361535
   1.8849556   5.0265482   0.3362016
   2.1991149   5.0265482   0.3362327
   2.5132741   5.0265482   0.3361446
   2.8274334   5.0265482   0.3357326
   3.1415927   5.0265482   0.3354031
   0.0000000   5.6548668   0.3354999
   0.3141593   5.6548668   0.3357453
   0.6283185   5.6548668   0.3361244
   0.9424778   5.6548668   0.3363289
   1.2566371   5.6548668   0.3363540
   1.5707963   5.6548668   0.3363195
   1.8849556   5.6548668   0.3363540
   2.1991149   5.6548668   0.3363289
   2.5132741   5.6548668   0.3361244
   2.8274334   5.6548668   0.3357453
   3.1415927   5.6548668   0.3354999
