#      theta         phi           r
   0.0000000   0.0000000   0.3395775
   0.3141593   0.0000000   0.3411188
   0.6283185   0.0000000   0.3438814
   0.9424778   0.0000000   0.3460446
   1.2566371   0.0000000   0.3470830
   1.5707963   0.0000000   0.3473814
   1.8849556   0.0000000   0.3470830
   2.1991149   0.0000000   0.3460446
   2.5132741   0.0000000   0.3438814
   2.8274334   0.0000000   0.3411188
   3.1415927   0.0000000   0.3395775
   0.0000000   0.6283185   0.3395677
   0.3141593   0.6283185   0.3403938
   0.6283185   0.6283185   0.3416135
   0.9424778   0.6283185   0.3421510
   1.2566371   0.6283185   0.3420142
   1.5707963   0.6283185   0.3419431
   1.8849556   0.6283185   0.3420142
   2.1991149   0.6283185   0.3421510
   2.5132741   0.6283185   0.3416135
   2.8274334   0.6283185   0.3403938
   3.1415927   0.6283185   0.3395677
   0.0000000   1.2566371   0.3395000
   0.3141593   1.2566371   0.3397476
   0.6283185   1.2566371   0.3397201
   0.9424778   1.2566371   0.3389320
   1.2566371   1.2566371   0.3377920
   1.5707963   1.2566371   0.3373745
   1.8849556   1.2566371   0.3377920
   2.1991149   1.2566371   0.3389321
   2.5132741   1.2566371   0.3397201
   2.8274334   1.2566371   0.3397476
   3.1415927   1.2566371   0.3395000
   0.0000000   1.8849556   0.3393352
   0.3141593   1.8849556   0.3397821
   0.6283185   1.8849556   0.3404242
   0.9424778   1.8849556   0.3406513
   1.2566371   1.8849556   0.3404370
   1.5707963   1.8849556   0.3403814
   1.8849556   1.8849556   0.3404370
   2.1991149   1.8849556   0.3406513
   2.5132741   1.8849556   0.3404242
   2.8274334   1.8849556   0.3397821
   3.1415927   1.8849556   0.3393352
   0.0000000   2.5132741   0.3391811
   0.3141593   2.5132741   0.3402392
   0.6283185   2.5132741   0.3424475
   0.9424778   2.5132741   0.3446835
   1.2566371   2.5132741   0.3462603
   1.5707963   2.5132741   0.3468921
   1.8849556   2.5132741   0.3462603
   2.1991149   2.5132741   0.3446835
   2.5132741   2.5132741   0.3424475
   2.8274334   2.5132741   0.3402392
   3.1415927   2.5132741   0.3391811
   0.0000000   3.1415927   0.3392470
   0.3141593   3.1415927   0.3403372
   0.6283185   3.1415927   0.3426569
   0.9424778   3.1415927   0.3449915
   1.2566371   3.1415927   0.3464101
   1.5707963   3.1415927   0.3469465
   1.8849556   3.1415927   0.3464101
   2.1991149   3.1415927   0.3449915
   2.5132741   3.1415927   0.3426569
   2.8274334   3.1415927   0.3403372
   3.1415927   3.1415927   0.3392470
   0.0000000   3.7699112   0.3392879
   0.3141593   3.7699112   0.3398566
   0.6283185   3.7699112   0.3408405
   0.9424778   3.7699112   0.3415612
   1.2566371   3.7699112   0.3418806
   1.5707963   3.7699112   0.3420227
   1.8849556   3.7699112   0.3418806
   2.1991149   3.7699112   0.3415612
   2.5132741   3.7699112   0.3408405
   2.8274334   3.7699112   0.3398566
   3.1415927   3.7699112   0.3392879
   0.0000000   4.3982297   0.3393734
   0.3141593   4.3982297   0.3395941
   0.6283185   4.3982297   0.3393628
   0.9424778   4.3982297   0.3382307
   1.2566371   4.3982297   0.3369370
   1.5707963   4.3982297   0.3363919
   1.8849556   4.3982297   0.3369370
   2.1991149   4.3982297   0.3382307
   2.5132741   4.3982297   0.3393628
   2.8274334   4.3982297   0.3395941
   3.1415927   4.3982297   0.3393734
   0.0000000   5.0265482   0.3395226
   0.3141593   5.0265482   0.3401814
   0.6283185   5.0265482   0.3409027
   0.9424778   5.0265482   0.3407701
   1.2566371   5.0265482   0.3401549
   1.5707963   5.0265482   0.3398462
   1.8849556   5.0265482   0.3401549
   2.1991149   5.0265482   0.3407701
   2.5132741   5.0265482   0.3409027
   2.8274334   5.0265482   0.3401814
   3.1415927   5.0265482   0.3395226
   0.0000000   5.6548668   0.3396498
   0.3141593   5.6548668   0.3410304
   0.6283185   5.6548668   0.3437519
   0.9424778   5.6548668   0.3462606
   1.2566371   5.6548668   0.3477717
   1.5707963   5.6548668   0.3483405
   1.8849556   5.6548668   0.3477717
   2.1991149   5.6548668   0.3462606
   2.5132741   5.6548668   0.3437519
   2.8274334   5.6548668   0.3410304
   3.1415927   5.6548668   0.3396498
