#      theta         phi           r
   0.0000000   0.0000000   0.2209674
   0.3141593   0.0000000   0.2207218
   0.6283185   0.0000000   0.2203253
   0.9424778   0.0000000   0.2200885
   1.2566371   0.0000000   0.2200565
   1.5707963   0.0000000   0.2200124
   1.8849556   0.0000000   0.2200565
   2.1991149   0.0000000   0.2200885
   2.5132741   0.0000000   0.2203253
   2.8274334   0.0000000   0.2207218
   3.1415927   0.0000000   0.2209674
   0.0000000   0.6283185   0.2215720
   0.3141593   0.6283185   0.2217545
   0.6283185   0.6283185   0.2220924
   0.9424778   0.6283185   0.2224150
   1.2566371   0.6283185   0.2227436
   1.5707963   0.6283185   0.2228179
   1.8849556   0.6283185   0.2227436
   2.1991149   0.6283185   0.2224150
   2.5132741   0.6283185   0.2220924
   2.8274334   0.6283185   0.2217545
   3.1415927   0.6283185   0.2215720
   0.0000000   1.2566371   0.2220575
   0.3141593   1.2566371   0.2225228
   0.6283185   1.2566371   0.2234655
   0.9424778   1.2566371   0.2244120
   1.2566371   1.2566371   0.2251636
   1.5707963   1.2566371   0.2253768
   1.8849556   1.2566371   0.2251636
   2.1991149   1.2566371   0.2244120
   2.5132741   1.2566371   0.2234655
   2.8274334   1.2566371   0.2225228
   3.1415927   1.2566371   0.2220575
   0.0000000   1.8849556   0.2221692
   0.3141593   1.8849556   0.2227037
   0.6283185   1.8849556   0.2237758
   0.9424778   1.8849556   0.2248355
   1.2566371   1.8849556   0.2256625
   1.5707963   1.8849556   0.2259030
   1.8849556   1.8849556   0.2256625
   2.1991149   1.8849556   0.2248355
   2.5132741   1.8849556   0.2237758
   2.8274334   1.8849556   0.2227037
   3.1415927   1.8849556   0.2221692
   0.0000000   2.5132741   0.2218645
   0.3141593   2.5132741   0.2222248
   0.6283185   2.5132741   0.2228944
   0.9424778   2.5132741   0.2235073
   1.2566371   2.5132741   0.2240329
   1.5707963   2.5132741   0.2241776
   1.8849556   2.5132741   0.2240329
   2.1991149   2.5132741   0.2235073
   2.5132741   2.5132741   0.2228944
   2.8274334   2.5132741   0.2222248
   3.1415927   2.5132741   0.2218645
   0.0000000   3.1415927   0.2213286
   0.3141593   3.1415927   0.2212963
   0.6283185   3.1415927   0.2212973
   0.9424778   3.1415927   0.2214060
   1.2566371   3.1415927   0.2215999
   1.5707963   3.1415927   0.2216365
   1.8849556   3.1415927   0.2215999
   2.1991149   3.1415927   0.2214060
   2.5132741   3.1415927   0.2212973
   2.8274334   3.1415927   0.2212963
   3.1415927   3.1415927   0.2213286
   0.0000000   3.7699112   0.2206711
   0.3141593   3.7699112   0.2203147
   0.6283185   3.7699112   0.2196733
   0.9424778   3.7699112   0.2191750
   1.2566371   3.7699112   0.2189623
   1.5707963   3.7699112   0.2188511
   1.8849556   3.7699112   0.2189623
   2.1991149   3.7699112   0.2191750
   2.5132741   3.7699112   0.2196733
   2.8274334   3.7699112   0.2203147
   3.1415927   3.7699112   0.2206711
   0.0000000   4.3982297   0.2202365
   0.3141593   4.3982297   0.2196178
   0.6283185   4.3982297   0.2185617
   0.9424778   4.3982297   0.2178000
   1.2566371   4.3982297   0.2174396
   1.5707963   4.3982297   0.2172644
   1.8849556   4.3982297   0.2174396
   2.1991149   4.3982297   0.2178000
   2.5132741   4.3982297   0.2185617
   2.8274334   4.3982297   0.2196178
   3.1415927   4.3982297   0.2202365
   0.0000000   5.0265482   0.2201266
   0.3141593   5.0265482   0.2194441
   0.6283185   5.0265482   0.2182730
   0.9424778   5.0265482   0.2174162
   1.2566371   5.0265482   0.2169949
   1.5707963   5.0265482   0.2167979
   1.8849556   5.0265482   0.2169949
   2.1991149   5.0265482   0.2174162
   2.5132741   5.0265482   0.2182730
   2.8274334   5.0265482   0.2194441
   3.1415927   5.0265482   0.2201266
   0.0000000   5.6548668   0.2203814
   0.3141593   5.6548668   0.2198561
   0.6283185   5.6548668   0.2189062
   0.9424778   5.6548668   0.2181466
   1.2566371   5.6548668   0.2177605
   1.5707963   5.6548668   0.2175883
   1.8849556   5.6548668   0.2177605
   2.1991149   5.6548668   0.2181466
   2.5132741   5.6548668   0.2189062
   2.8274334   5.6548668   0.2198561
   3.1415927   5.6548668   0.2203814
