#      theta         phi           r
   0.0000000   0.0000000   0.3650447
   0.3141593   0.0000000   0.3662983
   0.6283185   0.0000000   0.3685838
   0.9424778   0.0000000   0.3703818
   1.2566371   0.0000000   0.3710979
   1.5707963   0.0000000   0.3712638
   1.8849556   0.0000000   0.3710979
   2.1991149   0.0000000   0.3703818
   2.5132741   0.0000000   0.3685838
   2.8274334   0.0000000   0.3662983
   3.1415927   0.0000000   0.3650447
   0.0000000   0.6283185   0.3648841
   0.3141593   0.6283185   0.3655121
   0.6283185   0.6283185   0.3662935
   0.9424778   0.6283185   0.3663800
   1.2566371   0.6283185   0.3659972
   1.5707963   0.6283185   0.3657821
   1.8849556   0.6283185   0.3659972
   2.1991149   0.6283185   0.3663800
   2.5132741   0.6283185   0.3662935
   2.8274334   0.6283185   0.3655121
   3.1415927   0.6283185   0.3648841
   0.0000000   1.2566371   0.3647979
   0.3141593   1.2566371   0.3650071
   0.6283185   1.2566371   0.3649047
   0.9424778   1.2566371   0.3640516
   1.2566371   1.2566371   0.3628825
   1.5707963   1.2566371   0.3623765
   1.8849556   1.2566371   0.3628825
   2.1991149   1.2566371   0.3640516
   2.5132741   1.2566371   0.3649047
   2.8274334   1.2566371   0.3650071
   3.1415927   1.2566371   0.3647980
   0.0000000   1.8849556   0.3647202
   0.3141593   1.8849556   0.3653004
   0.6283185   1.8849556   0.3661675
   0.9424778   1.8849556   0.3665509
   1.2566371   1.8849556   0.3663991
   1.5707963   1.8849556   0.3662917
   1.8849556   1.8849556   0.3663991
   2.1991149   1.8849556   0.3665509
   2.5132741   1.8849556   0.3661675
   2.8274334   1.8849556   0.3653004
   3.1415927   1.8849556   0.3647202
   0.0000000   2.5132741   0.3646994
   0.3141593   2.5132741   0.3658723
   0.6283185   2.5132741   0.3682787
   0.9424778   2.5132741   0.3706381
   1.2566371   2.5132741   0.3721870
   1.5707963   2.5132741   0.3727627
   1.8849556   2.5132741   0.3721870
   2.1991149   2.5132741   0.3706381
   2.5132741   2.5132741   0.3682787
   2.8274334   2.5132741   0.3658723
   3.1415927   2.5132741   0.3646994
   0.0000000   3.1415927   0.3647351
   0.3141593   3.1415927   0.3659547
   0.6283185   3.1415927   0.3682608
   0.9424778   3.1415927   0.3702140
   1.2566371   3.1415927   0.3711607
   1.5707963   3.1415927   0.3713902
   1.8849556   3.1415927   0.3711607
   2.1991149   3.1415927   0.3702140
   2.5132741   3.1415927   0.3682608
   2.8274334   3.1415927   0.3659547
   3.1415927   3.1415927   0.3647351
   0.0000000   3.7699112   0.3649332
   0.3141593   3.7699112   0.3656173
   0.6283185   3.7699112   0.3666547
   0.9424778   3.7699112   0.3671709
   1.2566371   3.7699112   0.3671544
   1.5707963   3.7699112   0.3671274
   1.8849556   3.7699112   0.3671544
   2.1991149   3.7699112   0.3671709
   2.5132741   3.7699112   0.3666547
   2.8274334   3.7699112   0.3656173
   3.1415927   3.7699112   0.3649332
   0.0000000   4.3982297   0.3651055
   0.3141593   4.3982297   0.3654275
   0.6283185   4.3982297   0.3653771
   0.9424778   4.3982297   0.3643208
   1.2566371   4.3982297   0.3628127
   1.5707963   4.3982297   0.3621966
   1.8849556   4.3982297   0.3628127
   2.1991149   4.3982297   0.3643208
   2.5132741   4.3982297   0.3653771
   2.8274334   4.3982297   0.3654275
   3.1415927   4.3982297   0.3651055
   0.0000000   5.0265482   0.3651623
   0.3141593   5.0265482   0.3658986
   0.6283185   5.0265482   0.3668676
   0.9424778   5.0265482   0.3670432
   1.2566371   5.0265482   0.3665111
   1.5707963   5.0265482   0.3662322
   1.8849556   5.0265482   0.3665111
   2.1991149   5.0265482   0.3670432
   2.5132741   5.0265482   0.3668676
   2.8274334   5.0265482   0.3658986
   3.1415927   5.0265482   0.3651623
   0.0000000   5.6548668   0.3651141
   0.3141593   5.6548668   0.3665060
   0.6283185   5.6548668   0.3692320
   0.9424778   5.6548668   0.3717476
   1.2566371   5.6548668   0.3733474
   1.5707963   5.6548668   0.3738958
   1.8849556   5.6548668   0.3733474
   2.1991149   5.6548668   0.3717476
   2.5132741   5.6548668   0.3692320
   2.8274334   5.6548668   0.3665060
   3.1415927   5.6548668   0.3651141
