#      theta         phi           r
   0.0000000   0.0000000   0.3063073
   0.3141593   0.0000000   0.3064646
   0.6283185   0.0000000   0.3066981
   0.9424778   0.0000000   0.3067959
   1.2566371   0.0000000   0.3067405
   1.5707963   0.0000000   0.3066443
   1.8849556   0.0000000   0.3067405
   2.1991149   0.0000000   0.3067960
   2.5132741   0.0000000   0.3066981
   2.8274334   0.0000000   0.3064646
   3.1415927   0.0000000   0.3063073
   0.0000000   0.6283185   0.3062595
   0.3141593   0.6283185   0.3064948
   0.6283185   0.6283185   0.3068474
   0.9424778   0.6283185   0.3070542
   1.2566371   0.6283185   0.3072080
   1.5707963   0.6283185   0.3072286
   1.8849556   0.6283185   0.3072080
   2.1991149   0.6283185   0.3070542
   2.5132741   0.6283185   0.3068474
   2.8274334   0.6283185   0.3064948
   3.1415927   0.6283185   0.3062595
   0.0000000   1.2566371   0.3061721
   0.3141593   1.2566371   0.3064651
   0.6283185   1.2566371   0.3068477
   0.9424778   1.2566371   0.3069908
   1.2566371   1.2566371   0.3071193
   1.5707963   1.2566371   0.3071362
   1.8849556   1.2566371   0.3071193
   2.1991149   1.2566371   0.3069908
   2.5132741   1.2566371   0.3068477
   2.8274334   1.2566371   0.3064651
   3.1415927   1.2566371   0.3061722
   0.0000000   1.8849556   0.3061656
   0.3141593   1.8849556   0.3064138
   0.6283185   1.8849556   0.3066974
   0.9424778   1.8849556   0.3067303
   1.2566371   1.8849556   0.3067659
   1.5707963   1.8849556   0.3067478
   1.8849556   1.8849556   0.3067659
   2.1991149   1.8849556   0.3067303
   2.5132741   1.8849556   0.3066975
   2.8274334   1.8849556   0.3064138
   3.1415927   1.8849556   0.3061656
   0.0000000   2.5132741   0.3062279
   0.3141593   2.5132741   0.3063946
   0.6283185   2.5132741   0.3065791
   0.9424778   2.5132741   0.3065819
   1.2566371   2.5132741   0.3065691
   1.5707963   2.5132741   0.3065275
   1.8849556   2.5132741   0.3065691
   2.1991149   2.5132741   0.3065820
   2.5132741   2.5132741   0.3065791
   2.8274334   2.5132741   0.3063946
   3.1415927   2.5132741   0.3062279
   0.0000000   3.1415927   0.3062667
   0.3141593   3.1415927   0.3064037
   0.6283185   3.1415927   0.3065899
   0.9424778   3.1415927   0.3066323
   1.2566371   3.1415927   0.3065305
   1.5707963   3.1415927   0.3064150
   1.8849556   3.1415927   0.3065305
   2.1991149   3.1415927   0.3066323
   2.5132741   3.1415927   0.3065899
   2.8274334   3.1415927   0.3064038
   3.1415927   3.1415927   0.3062667
   0.0000000   3.7699112   0.3062482
   0.3141593   3.7699112   0.3063676
   0.6283185   3.7699112   0.3065535
   0.9424778   3.7699112   0.3066678
   1.2566371   3.7699112   0.3067317
   1.5707963   3.7699112   0.3067277
   1.8849556   3.7699112   0.3067317
   2.1991149   3.7699112   0.3066678
   2.5132741   3.7699112   0.3065535
   2.8274334   3.7699112   0.3063676
   3.1415927   3.7699112   0.3062483
   0.0000000   4.3982297   0.3060798
   0.3141593   4.3982297   0.3062902
   0.6283185   4.3982297   0.3064664
   0.9424778   4.3982297   0.3063491
   1.2566371   4.3982297   0.3062427
   1.5707963   4.3982297   0.3061764
   1.8849556   4.3982297   0.3062427
   2.1991149   4.3982297   0.3063491
   2.5132741   4.3982297   0.3064664
   2.8274334   4.3982297   0.3062902
   3.1415927   4.3982297   0.3060798
   0.0000000   5.0265482   0.3060896
   0.3141593   5.0265482   0.3062789
   0.6283185   5.0265482   0.3063892
   0.9424778   5.0265482   0.3061798
   1.2566371   5.0265482   0.3060033
   1.5707963   5.0265482   0.3059101
   1.8849556   5.0265482   0.3060033
   2.1991149   5.0265482   0.3061798
   2.5132741   5.0265482   0.3063892
   2.8274334   5.0265482   0.3062789
   3.1415927   5.0265482   0.3060896
   0.0000000   5.6548668   0.3062852
   0.3141593   5.6548668   0.3063658
   0.6283185   5.6548668   0.3064515
   0.9424778   5.6548668   0.3064405
   1.2566371   5.6548668   0.3064069
   1.5707963   5.6548668   0.3063647
   1.8849556   5.6548668   0.3064069
   2.1991149   5.6548668   0.3064405
   2.5132741   5.6548668   0.3064515
   2.8274334   5.6548668   0.3063658
   3.1415927   5.6548668   0.3062852
