#      theta         phi           r
   0.0000000   0.0000000   0.4167657
   0.3141593   0.0000000   0.4183087
   0.6283185   0.0000000   0.4211221
   0.9424778   0.0000000   0.4233132
   1.2566371   0.0000000   0.4240974
   1.5707963   0.0000000   0.4241396
   1.8849556   0.0000000   0.4240974
   2.1991149   0.0000000   0.4233132
   2.5132741   0.0000000   0.4211221
   2.8274334   0.0000000   0.4183087
   3.1415927   0.0000000   0.4167657
   0.0000000   0.6283185   0.4168861
   0.3141593   0.6283185   0.4180245
   0.6283185   0.6283185   0.4199530
   0.9424778   0.6283185   0.4212837
   1.2566371   0.6283185   0.4217531
   1.5707963   0.6283185   0.4217882
   1.8849556   0.6283185   0.4217531
   2.1991149   0.6283185   0.4212837
   2.5132741   0.6283185   0.4199530
   2.8274334   0.6283185   0.4180245
   3.1415927   0.6283185   0.4168861
   0.0000000   1.2566371   0.4169800
   0.3141593   1.2566371   0.4176570
   0.6283185   1.2566371   0.4181952
   0.9424778   1.2566371   0.4175462
   1.2566371   1.2566371   0.4162485
   1.5707963   1.2566371   0.4155611
   1.8849556   1.2566371   0.4162485
   2.1991149   1.2566371   0.4175462
   2.5132741   1.2566371   0.4181952
   2.8274334   1.2566371   0.4176570
   3.1415927   1.2566371   0.4169800
   0.0000000   1.8849556   0.4169707
   0.3141593   1.8849556   0.4178683
   0.6283185   1.8849556   0.4188959
   0.9424778   1.8849556   0.4187775
   1.2566371   1.8849556   0.4178664
   1.5707963   1.8849556   0.4173215
   1.8849556   1.8849556   0.4178664
   2.1991149   1.8849556   0.4187775
   2.5132741   1.8849556   0.4188959
   2.8274334   1.8849556   0.4178683
   3.1415927   1.8849556   0.4169707
   0.0000000   2.5132741   0.4169123
   0.3141593   2.5132741   0.4184258
   0.6283185   2.5132741   0.4212170
   0.9424778   2.5132741   0.4235288
   1.2566371   2.5132741   0.4247611
   1.5707963   2.5132741   0.4250959
   1.8849556   2.5132741   0.4247611
   2.1991149   2.5132741   0.4235288
   2.5132741   2.5132741   0.4212170
   2.8274334   2.5132741   0.4184258
   3.1415927   2.5132741   0.4169123
   0.0000000   3.1415927   0.4168399
   0.3141593   3.1415927   0.4184557
   0.6283185   3.1415927   0.4213586
   0.9424778   3.1415927   0.4235455
   1.2566371   3.1415927   0.4242315
   1.5707963   3.1415927   0.4242127
   1.8849556   3.1415927   0.4242315
   2.1991149   3.1415927   0.4235455
   2.5132741   3.1415927   0.4213586
   2.8274334   3.1415927   0.4184557
   3.1415927   3.1415927   0.4168399
   0.0000000   3.7699112   0.4167522
   0.3141593   3.7699112   0.4178612
   0.6283185   3.7699112   0.4196241
   0.9424778   3.7699112   0.4206362
   1.2566371   3.7699112   0.4207477
   1.5707963   3.7699112   0.4206271
   1.8849556   3.7699112   0.4207477
   2.1991149   3.7699112   0.4206362
   2.5132741   3.7699112   0.4196241
   2.8274334   3.7699112   0.4178612
   3.1415927   3.7699112   0.4167522
   0.0000000   4.3982297   0.4166763
   0.3141593   4.3982297   0.4173027
   0.6283185   4.3982297   0.4178133
   0.9424778   4.3982297   0.4171812
   1.2566371   4.3982297   0.4157473
   1.5707963   4.3982297   0.4149761
   1.8849556   4.3982297   0.4157473
   2.1991149   4.3982297   0.4171812
   2.5132741   4.3982297   0.4178133
   2.8274334   4.3982297   0.4173027
   3.1415927   4.3982297   0.4166763
   0.0000000   5.0265482   0.4166775
   0.3141593   5.0265482   0.4174481
   0.6283185   5.0265482   0.4183994
   0.9424778   5.0265482   0.4183973
   1.2566371   5.0265482   0.4175163
   1.5707963   5.0265482   0.4169638
   1.8849556   5.0265482   0.4175163
   2.1991149   5.0265482   0.4183973
   2.5132741   5.0265482   0.4183994
   2.8274334   5.0265482   0.4174481
   3.1415927   5.0265482   0.4166775
   0.0000000   5.6548668   0.4167291
   0.3141593   5.6548668   0.4180468
   0.6283185   5.6548668   0.4205208
   0.9424778   5.6548668   0.4226126
   1.2566371   5.6548668   0.4236908
   1.5707963   5.6548668   0.4239420
   1.8849556   5.6548668   0.4236908
   2.1991149   5.6548668   0.4226126
   2.5132741   5.6548668   0.4205208
   2.8274334   5.6548668   0.4180468
   3.1415927   5.6548668   0.4167291
