#      theta         phi           r
   0.0000000   0.0000000   0.3245776
   0.3141593   0.0000000   0.3257681
   0.6283185   0.0000000   0.3282448
   0.9424778   0.0000000   0.3306949
   1.2566371   0.0000000   0.3322448
   1.5707963   0.0000000   0.3327885
   1.8849556   0.0000000   0.3322448
   2.1991149   0.0000000   0.3306949
   2.5132741   0.0000000   0.3282448
   2.8274334   0.0000000   0.3257681
   3.1415927   0.0000000   0.3245776
   0.0000000   0.6283185   0.3246526
   0.3141593   0.6283185   0.3253117
   0.6283185   0.6283185   0.3264824
   0.9424778   0.6283185   0.3273613
   1.2566371   0.6283185   0.3276874
   1.5707963   0.6283185   0.3278484
   1.8849556   0.6283185   0.3276874
   2.1991149   0.6283185   0.3273613
   2.5132741   0.6283185   0.3264824
   2.8274334   0.6283185   0.3253117
   3.1415927   0.6283185   0.3246526
   0.0000000   1.2566371   0.3248042
   0.3141593   1.2566371   0.3249763
   0.6283185   1.2566371   0.3247435
   0.9424778   1.2566371   0.3236829
   1.2566371   1.2566371   0.3223060
   1.5707963   1.2566371   0.3218078
   1.8849556   1.2566371   0.3223060
   2.1991149   1.2566371   0.3236829
   2.5132741   1.2566371   0.3247435
   2.8274334   1.2566371   0.3249763
   3.1415927   1.2566371   0.3248042
   0.0000000   1.8849556   0.3248491
   0.3141593   1.8849556   0.3253346
   0.6283185   1.8849556   0.3258555
   0.9424778   1.8849556   0.3256828
   1.2566371   1.8849556   0.3249860
   1.5707963   1.8849556   0.3247514
   1.8849556   1.8849556   0.3249860
   2.1991149   1.8849556   0.3256828
   2.5132741   1.8849556   0.3258555
   2.8274334   1.8849556   0.3253346
   3.1415927   1.8849556   0.3248491
   0.0000000   2.5132741   0.3247979
   0.3141593   2.5132741   0.3260477
   0.6283185   2.5132741   0.3284830
   0.9424778   2.5132741   0.3307034
   1.2566371   2.5132741   0.3320693
   1.5707963   2.5132741   0.3326123
   1.8849556   2.5132741   0.3320693
   2.1991149   2.5132741   0.3307034
   2.5132741   2.5132741   0.3284830
   2.8274334   2.5132741   0.3260477
   3.1415927   2.5132741   0.3247979
   0.0000000   3.1415927   0.3248894
   0.3141593   3.1415927   0.3261641
   0.6283185   3.1415927   0.3286144
   0.9424778   3.1415927   0.3307097
   1.2566371   3.1415927   0.3316270
   1.5707963   3.1415927   0.3319543
   1.8849556   3.1415927   0.3316270
   2.1991149   3.1415927   0.3307097
   2.5132741   3.1415927   0.3286144
   2.8274334   3.1415927   0.3261641
   3.1415927   3.1415927   0.3248894
   0.0000000   3.7699112   0.3248385
   0.3141593   3.7699112   0.3254996
   0.6283185   3.7699112   0.3265643
   0.9424778   3.7699112   0.3271875
   1.2566371   3.7699112   0.3272343
   1.5707963   3.7699112   0.3272834
   1.8849556   3.7699112   0.3272343
   2.1991149   3.7699112   0.3271875
   2.5132741   3.7699112   0.3265643
   2.8274334   3.7699112   0.3254996
   3.1415927   3.7699112   0.3248385
   0.0000000   4.3982297   0.3247236
   0.3141593   4.3982297   0.3249093
   0.6283185   4.3982297   0.3248591
   0.9424778   4.3982297   0.3242037
   1.2566371   4.3982297   0.3232963
   1.5707963   4.3982297   0.3230106
   1.8849556   4.3982297   0.3232963
   2.1991149   4.3982297   0.3242037
   2.5132741   4.3982297   0.3248591
   2.8274334   4.3982297   0.3249093
   3.1415927   4.3982297   0.3247236
   0.0000000   5.0265482   0.3246582
   0.3141593   5.0265482   0.3250895
   0.6283185   5.0265482   0.3256802
   0.9424778   5.0265482   0.3258377
   1.2566371   5.0265482   0.3255866
   1.5707963   5.0265482   0.3255490
   1.8849556   5.0265482   0.3255866
   2.1991149   5.0265482   0.3258377
   2.5132741   5.0265482   0.3256802
   2.8274334   5.0265482   0.3250895
   3.1415927   5.0265482   0.3246582
   0.0000000   5.6548668   0.3246812
   0.3141593   5.6548668   0.3256441
   0.6283185   5.6548668   0.3277973
   0.9424778   5.6548668   0.3301070
   1.2566371   5.6548668   0.3316328
   1.5707963   5.6548668   0.3322708
   1.8849556   5.6548668   0.3316328
   2.1991149   5.6548668   0.3301070
   2.5132741   5.6548668   0.3277973
   2.8274334   5.6548668   0.3256442
   3.1415927   5.6548668   0.3246812
