#      theta         phi           r
   0.0000000   0.0000000   0.4019311
   0.3141593   0.0000000   0.4030346
   0.6283185   0.0000000   0.4049282
   0.9424778   0.0000000   0.4062772
   1.2566371   0.0000000   0.4068014
   1.5707963   0.0000000   0.4067837
   1.8849556   0.0000000   0.4068014
   2.1991149   0.0000000   0.4062772
   2.5132741   0.0000000   0.4049282
   2.8274334   0.0000000   0.4030346
   3.1415927   0.0000000   0.4019311
   0.0000000   0.6283185   0.4019599
   0.3141593   0.6283185   0.4028491
   0.6283185   0.6283185   0.4044314
   0.9424778   0.6283185   0.4056535
   1.2566371   0.6283185   0.4062281
   1.5707963   0.6283185   0.4063524
   1.8849556   0.6283185   0.4062281
   2.1991149   0.6283185   0.4056535
   2.5132741   0.6283185   0.4044314
   2.8274334   0.6283185   0.4028491
   3.1415927   0.6283185   0.4019599
   0.0000000   1.2566371   0.4018744
   0.3141593   1.2566371   0.4024429
   0.6283185   1.2566371   0.4030539
   0.9424778   1.2566371   0.4028868
   1.2566371   1.2566371   0.4022154
   1.5707963   1.2566371   0.4018356
   1.8849556   1.2566371   0.4022154
   2.1991149   1.2566371   0.4028868
   2.5132741   1.2566371   0.4030539
   2.8274334   1.2566371   0.4024429
   3.1415927   1.2566371   0.4018744
   0.0000000   1.8849556   0.4018431
   0.3141593   1.8849556   0.4023467
   0.6283185   1.8849556   0.4028367
   0.9424778   1.8849556   0.4025576
   1.2566371   1.8849556   0.4017879
   1.5707963   1.8849556   0.4013628
   1.8849556   1.8849556   0.4017879
   2.1991149   1.8849556   0.4025576
   2.5132741   1.8849556   0.4028367
   2.8274334   1.8849556   0.4023467
   3.1415927   1.8849556   0.4018431
   0.0000000   2.5132741   0.4018852
   0.3141593   2.5132741   0.4026155
   0.6283185   2.5132741   0.4040216
   0.9424778   2.5132741   0.4052440
   1.2566371   2.5132741   0.4058471
   1.5707963   2.5132741   0.4059680
   1.8849556   2.5132741   0.4058471
   2.1991149   2.5132741   0.4052440
   2.5132741   2.5132741   0.4040216
   2.8274334   2.5132741   0.4026155
   3.1415927   2.5132741   0.4018852
   0.0000000   3.1415927   0.4018472
   0.3141593   3.1415927   0.4027946
   0.6283185   3.1415927   0.4046006
   0.9424778   3.1415927   0.4061164
   1.2566371   3.1415927   0.4067332
   1.5707963   3.1415927   0.4067560
   1.8849556   3.1415927   0.4067332
   2.1991149   3.1415927   0.4061164
   2.5132741   3.1415927   0.4046006
   2.8274334   3.1415927   0.4027946
   3.1415927   3.1415927   0.4018472
   0.0000000   3.7699112   0.4018822
   0.3141593   3.7699112   0.4026462
   0.6283185   3.7699112   0.4040740
   0.9424778   3.7699112   0.4052697
   1.2566371   3.7699112   0.4058703
   1.5707963   3.7699112   0.4059917
   1.8849556   3.7699112   0.4058703
   2.1991149   3.7699112   0.4052697
   2.5132741   3.7699112   0.4040740
   2.8274334   3.7699112   0.4026462
   3.1415927   3.7699112   0.4018822
   0.0000000   4.3982297   0.4018974
   0.3141593   4.3982297   0.4023761
   0.6283185   4.3982297   0.4029130
   0.9424778   4.3982297   0.4027983
   1.2566371   4.3982297   0.4021740
   1.5707963   4.3982297   0.4017754
   1.8849556   4.3982297   0.4021740
   2.1991149   4.3982297   0.4027983
   2.5132741   4.3982297   0.4029130
   2.8274334   4.3982297   0.4023761
   3.1415927   4.3982297   0.4018974
   0.0000000   5.0265482   0.4019348
   0.3141593   5.0265482   0.4024290
   0.6283185   5.0265482   0.4029693
   0.9424778   5.0265482   0.4028259
   1.2566371   5.0265482   0.4021796
   1.5707963   5.0265482   0.4017839
   1.8849556   5.0265482   0.4021796
   2.1991149   5.0265482   0.4028259
   2.5132741   5.0265482   0.4029693
   2.8274334   5.0265482   0.4024290
   3.1415927   5.0265482   0.4019348
   0.0000000   5.6548668   0.4019598
   0.3141593   5.6548668   0.4028082
   0.6283185   5.6548668   0.4042312
   0.9424778   5.6548668   0.4052100
   1.2566371   5.6548668   0.4056121
   1.5707963   5.6548668   0.4056794
   1.8849556   5.6548668   0.4056121
   2.1991149   5.6548668   0.4052100
   2.5132741   5.6548668   0.4042312
   2.8274334   5.6548668   0.4028082
   3.1415927   5.6548668   0.4019598
