#      theta         phi           r
   0.0000000   0.0000000   0.2449054
   0.3141593   0.0000000   0.2446431
   0.6283185   0.0000000   0.2442687
   0.9424778   0.0000000   0.2441435
   1.2566371   0.0000000   0.2442854
   1.5707963   0.0000000   0.2443117
   1.8849556   0.0000000   0.2442854
   2.1991149   0.0000000   0.2441435
   2.5132741   0.0000000   0.2442687
   2.8274334   0.0000000   0.2446431
   3.1415927   0.0000000   0.2449054
   0.0000000   0.6283185   0.2453228
   0.3141593   0.6283185   0.2454172
   0.6283185   0.6283185   0.2456040
   0.9424778   0.6283185   0.2458302
   1.2566371   0.6283185   0.2461654
   1.5707963   0.6283185   0.2462288
   1.8849556   0.6283185   0.2461654
   2.1991149   0.6283185   0.2458302
   2.5132741   0.6283185   0.2456040
   2.8274334   0.6283185   0.2454172
   3.1415927   0.6283185   0.2453227
   0.0000000   1.2566371   0.2456450
   0.3141593   1.2566371   0.2459066
   0.6283185   1.2566371   0.2465136
   0.9424778   1.2566371   0.2472297
   1.2566371   1.2566371   0.2478591
   1.5707963   1.2566371   0.2480405
   1.8849556   1.2566371   0.2478591
   2.1991149   1.2566371   0.2472297
   2.5132741   1.2566371   0.2465136
   2.8274334   1.2566371   0.2459066
   3.1415927   1.2566371   0.2456450
   0.0000000   1.8849556   0.2456468
   0.3141593   1.8849556   0.2459080
   0.6283185   1.8849556   0.2465150
   0.9424778   1.8849556   0.2472347
   1.2566371   1.8849556   0.2478769
   1.5707963   1.8849556   0.2480617
   1.8849556   1.8849556   0.2478769
   2.1991149   1.8849556   0.2472347
   2.5132741   1.8849556   0.2465150
   2.8274334   1.8849556   0.2459080
   3.1415927   1.8849556   0.2456468
   0.0000000   2.5132741   0.2453209
   0.3141593   2.5132741   0.2454257
   0.6283185   2.5132741   0.2456236
   0.9424778   2.5132741   0.2458506
   1.2566371   2.5132741   0.2461901
   1.5707963   2.5132741   0.2462534
   1.8849556   2.5132741   0.2461901
   2.1991149   2.5132741   0.2458506
   2.5132741   2.5132741   0.2456236
   2.8274334   2.5132741   0.2454257
   3.1415927   2.5132741   0.2453209
   0.0000000   3.1415927   0.2449119
   0.3141593   3.1415927   0.2446612
   0.6283185   3.1415927   0.2443031
   0.9424778   3.1415927   0.2441861
   1.2566371   3.1415927   0.2443362
   1.5707963   3.1415927   0.2443647
   1.8849556   3.1415927   0.2443362
   2.1991149   3.1415927   0.2441861
   2.5132741   3.1415927   0.2443031
   2.8274334   3.1415927   0.2446612
   3.1415927   3.1415927   0.2449119
   0.0000000   3.7699112   0.2444221
   0.3141593   3.7699112   0.2439757
   0.6283185   3.7699112   0.2431894
   0.9424778   3.7699112   0.2426082
   1.2566371   3.7699112   0.2423983
   1.5707963   3.7699112   0.2422765
   1.8849556   3.7699112   0.2423983
   2.1991149   3.7699112   0.2426082
   2.5132741   3.7699112   0.2431893
   2.8274334   3.7699112   0.2439756
   3.1415927   3.7699112   0.2444220
   0.0000000   4.3982297   0.2441442
   0.3141593   4.3982297   0.2435450
   0.6283185   4.3982297   0.2425957
   0.9424778   4.3982297   0.2420206
   1.2566371   4.3982297   0.2418128
   1.5707963   4.3982297   0.2417010
   1.8849556   4.3982297   0.2418128
   2.1991149   4.3982297   0.2420205
   2.5132741   4.3982297   0.2425957
   2.8274334   4.3982297   0.2435450
   3.1415927   4.3982297   0.2441442
   0.0000000   5.0265482   0.2441422
   0.3141593   5.0265482   0.2435406
   0.6283185   5.0265482   0.2425862
   0.9424778   5.0265482   0.2420025
   1.2566371   5.0265482   0.2417762
   1.5707963   5.0265482   0.2416585
   1.8849556   5.0265482   0.2417762
   2.1991149   5.0265482   0.2420025
   2.5132741   5.0265482   0.2425862
   2.8274334   5.0265482   0.2435405
   3.1415927   5.0265482   0.2441422
   0.0000000   5.6548668   0.2444217
   0.3141593   5.6548668   0.2439621
   0.6283185   5.6548668   0.2431567
   0.9424778   5.6548668   0.2425655
   1.2566371   5.6548668   0.2423485
   1.5707963   5.6548668   0.2422203
   1.8849556   5.6548668   0.2423485
   2.1991149   5.6548668   0.2425655
   2.5132741   5.6548668   0.2431566
   2.8274334   5.6548668   0.2439621
   3.1415927   5.6548668   0.2444217
