#      theta         phi           r
   0.0000000   0.0000000   0.2611197
   0.3141593   0.0000000   0.2619795
   0.6283185   0.0000000   0.2637301
   0.9424778   0.0000000   0.2652741
   1.2566371   0.0000000   0.2657090
   1.5707963   0.0000000   0.2659931
   1.8849556   0.0000000   0.2657090
   2.1991149   0.0000000   0.2652741
   2.5132741   0.0000000   0.2637301
   2.8274334   0.0000000   0.2619795
   3.1415927   0.0000000   0.2611197
   0.0000000   0.6283185   0.2611208
   0.3141593   0.6283185   0.2617321
   0.6283185   0.6283185   0.2627138
   0.9424778   0.6283185   0.2632673
   1.2566371   0.6283185   0.2632330
   1.5707963   0.6283185   0.2633115
   1.8849556   0.6283185   0.2632330
   2.1991149   0.6283185   0.2632673
   2.5132741   0.6283185   0.2627138
   2.8274334   0.6283185   0.2617320
   3.1415927   0.6283185   0.2611208
   0.0000000   1.2566371   0.2611614
   0.3141593   1.2566371   0.2614142
   0.6283185   1.2566371   0.2615409
   0.9424778   1.2566371   0.2610889
   1.2566371   1.2566371   0.2602649
   1.5707963   1.2566371   0.2600286
   1.8849556   1.2566371   0.2602649
   2.1991149   1.2566371   0.2610889
   2.5132741   1.2566371   0.2615409
   2.8274334   1.2566371   0.2614142
   3.1415927   1.2566371   0.2611614
   0.0000000   1.8849556   0.2611027
   0.3141593   1.8849556   0.2615512
   0.6283185   1.8849556   0.2622132
   0.9424778   1.8849556   0.2624718
   1.2566371   1.8849556   0.2622543
   1.5707963   1.8849556   0.2622493
   1.8849556   1.8849556   0.2622543
   2.1991149   1.8849556   0.2624718
   2.5132741   1.8849556   0.2622132
   2.8274334   1.8849556   0.2615512
   3.1415927   1.8849556   0.2611027
   0.0000000   2.5132741   0.2610132
   0.3141593   2.5132741   0.2618767
   0.6283185   2.5132741   0.2637594
   0.9424778   2.5132741   0.2657143
   1.2566371   2.5132741   0.2669476
   1.5707963   2.5132741   0.2675235
   1.8849556   2.5132741   0.2669476
   2.1991149   2.5132741   0.2657143
   2.5132741   2.5132741   0.2637594
   2.8274334   2.5132741   0.2618767
   3.1415927   2.5132741   0.2610132
   0.0000000   3.1415927   0.2609940
   0.3141593   3.1415927   0.2617327
   0.6283185   3.1415927   0.2635066
   0.9424778   3.1415927   0.2654527
   1.2566371   3.1415927   0.2664410
   1.5707963   3.1415927   0.2669665
   1.8849556   3.1415927   0.2664410
   2.1991149   3.1415927   0.2654527
   2.5132741   3.1415927   0.2635066
   2.8274334   3.1415927   0.2617327
   3.1415927   3.1415927   0.2609940
   0.0000000   3.7699112   0.2609340
   0.3141593   3.7699112   0.2610724
   0.6283185   3.7699112   0.2614371
   0.9424778   3.7699112   0.2618435
   1.2566371   3.7699112   0.2619625
   1.5707963   3.7699112   0.2621419
   1.8849556   3.7699112   0.2619625
   2.1991149   3.7699112   0.2618435
   2.5132741   3.7699112   0.2614370
   2.8274334   3.7699112   0.2610724
   3.1415927   3.7699112   0.2609340
   0.0000000   4.3982297   0.2608398
   0.3141593   4.3982297   0.2604917
   0.6283185   4.3982297   0.2596021
   0.9424778   4.3982297   0.2583500
   1.2566371   4.3982297   0.2568443
   1.5707963   4.3982297   0.2564103
   1.8849556   4.3982297   0.2568443
   2.1991149   4.3982297   0.2583500
   2.5132741   4.3982297   0.2596021
   2.8274334   4.3982297   0.2604917
   3.1415927   4.3982297   0.2608398
   0.0000000   5.0265482   0.2608950
   0.3141593   5.0265482   0.2607784
   0.6283185   5.0265482   0.2604326
   0.9424778   5.0265482   0.2597977
   1.2566371   5.0265482   0.2587259
   1.5707963   5.0265482   0.2584507
   1.8849556   5.0265482   0.2587259
   2.1991149   5.0265482   0.2597977
   2.5132741   5.0265482   0.2604325
   2.8274334   5.0265482   0.2607783
   3.1415927   5.0265482   0.2608949
   0.0000000   5.6548668   0.2610605
   0.3141593   5.6548668   0.2616253
   0.6283185   5.6548668   0.2629065
   0.9424778   5.6548668   0.2642729
   1.2566371   5.6548668   0.2650778
   1.5707963   5.6548668   0.2655221
   1.8849556   5.6548668   0.2650778
   2.1991149   5.6548668   0.2642729
   2.5132741   5.6548668   0.2629065
   2.8274334   5.6548668   0.2616253
   3.1415927   5.6548668   0.2610605
