#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
  23.0000000    4.6000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  23.5000000    4.7000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  24.0000000    4.8000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  24.5000000    4.9000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  25.0000000    5.0000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  25.5000000    5.1000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  26.0000000    5.2000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  26.5000000    5.3000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  27.0000000    5.4000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  27.5000000    5.5000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  28.0000000    5.6000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  28.5000000    5.7000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  29.0000000    5.8000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  29.5000000    5.9000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  30.0000000    6.0000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  30.5000000    6.1000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  31.0000000    6.2000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  31.5000000    6.3000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  32.0000000    6.4000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  32.5000000    6.5000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  33.0000000    6.6000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  33.5000000    6.7000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  34.0000000    6.8000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  34.5000000    6.9000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  35.0000000    7.0000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  35.5000000    7.1000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
