#      theta         phi           r
   0.0000000   0.0000000   0.4211081
   0.3141593   0.0000000   0.4225797
   0.6283185   0.0000000   0.4252390
   0.9424778   0.0000000   0.4273410
   1.2566371   0.0000000   0.4283240
   1.5707963   0.0000000   0.4284667
   1.8849556   0.0000000   0.4283240
   2.1991149   0.0000000   0.4273410
   2.5132741   0.0000000   0.4252390
   2.8274334   0.0000000   0.4225797
   3.1415927   0.0000000   0.4211082
   0.0000000   0.6283185   0.4212426
   0.3141593   0.6283185   0.4223349
   0.6283185   0.6283185   0.4242643
   0.9424778   0.6283185   0.4257360
   1.2566371   0.6283185   0.4264244
   1.5707963   0.6283185   0.4265930
   1.8849556   0.6283185   0.4264244
   2.1991149   0.6283185   0.4257360
   2.5132741   0.6283185   0.4242643
   2.8274334   0.6283185   0.4223349
   3.1415927   0.6283185   0.4212426
   0.0000000   1.2566371   0.4212543
   0.3141593   1.2566371   0.4218441
   0.6283185   1.2566371   0.4223790
   0.9424778   1.2566371   0.4219753
   1.2566371   1.2566371   0.4210397
   1.5707963   1.2566371   0.4205275
   1.8849556   1.2566371   0.4210397
   2.1991149   1.2566371   0.4219753
   2.5132741   1.2566371   0.4223790
   2.8274334   1.2566371   0.4218441
   3.1415927   1.2566371   0.4212543
   0.0000000   1.8849556   0.4211996
   0.3141593   1.8849556   0.4218275
   0.6283185   1.8849556   0.4224749
   0.9424778   1.8849556   0.4222147
   1.2566371   1.8849556   0.4213549
   1.5707963   1.8849556   0.4208525
   1.8849556   1.8849556   0.4213549
   2.1991149   1.8849556   0.4222147
   2.5132741   1.8849556   0.4224750
   2.8274334   1.8849556   0.4218275
   3.1415927   1.8849556   0.4211996
   0.0000000   2.5132741   0.4210937
   0.3141593   2.5132741   0.4222343
   0.6283185   2.5132741   0.4243685
   0.9424778   2.5132741   0.4261838
   1.2566371   2.5132741   0.4271932
   1.5707963   2.5132741   0.4274754
   1.8849556   2.5132741   0.4271932
   2.1991149   2.5132741   0.4261838
   2.5132741   2.5132741   0.4243685
   2.8274334   2.5132741   0.4222343
   3.1415927   2.5132741   0.4210937
   0.0000000   3.1415927   0.4209199
   0.3141593   3.1415927   0.4223303
   0.6283185   3.1415927   0.4249488
   0.9424778   3.1415927   0.4271125
   1.2566371   3.1415927   0.4281674
   1.5707963   3.1415927   0.4283194
   1.8849556   3.1415927   0.4281674
   2.1991149   3.1415927   0.4271125
   2.5132741   3.1415927   0.4249488
   2.8274334   3.1415927   0.4223304
   3.1415927   3.1415927   0.4209199
   0.0000000   3.7699112   0.4209438
   0.3141593   3.7699112   0.4219225
   0.6283185   3.7699112   0.4236680
   0.9424778   3.7699112   0.4250094
   1.2566371   3.7699112   0.4255971
   1.5707963   3.7699112   0.4256950
   1.8849556   3.7699112   0.4255971
   2.1991149   3.7699112   0.4250094
   2.5132741   3.7699112   0.4236680
   2.8274334   3.7699112   0.4219226
   3.1415927   3.7699112   0.4209438
   0.0000000   4.3982297   0.4209326
   0.3141593   4.3982297   0.4214789
   0.6283185   4.3982297   0.4219342
   0.9424778   4.3982297   0.4214390
   1.2566371   4.3982297   0.4203549
   1.5707963   4.3982297   0.4197108
   1.8849556   4.3982297   0.4203549
   2.1991149   4.3982297   0.4214390
   2.5132741   4.3982297   0.4219342
   2.8274334   4.3982297   0.4214789
   3.1415927   4.3982297   0.4209326
   0.0000000   5.0265482   0.4209859
   0.3141593   5.0265482   0.4216201
   0.6283185   5.0265482   0.4222911
   0.9424778   5.0265482   0.4220671
   1.2566371   5.0265482   0.4212375
   1.5707963   5.0265482   0.4207077
   1.8849556   5.0265482   0.4212375
   2.1991149   5.0265482   0.4220671
   2.5132741   5.0265482   0.4222911
   2.8274334   5.0265482   0.4216201
   3.1415927   5.0265482   0.4209860
   0.0000000   5.6548668   0.4210928
   0.3141593   5.6548668   0.4222276
   0.6283185   5.6548668   0.4243185
   0.9424778   5.6548668   0.4260352
   1.2566371   5.6548668   0.4269017
   1.5707963   5.6548668   0.4271144
   1.8849556   5.6548668   0.4269017
   2.1991149   5.6548668   0.4260352
   2.5132741   5.6548668   0.4243185
   2.8274334   5.6548668   0.4222277
   3.1415927   5.6548668   0.4210928
