#       time         integral Re         integral Im
#       r =             6.000000            6.000000
   0.0000000   -1.8679702517e-08   -3.2598632014e-16
   0.1250000   -1.4401266737e-08    4.0648886976e-18
   0.2500000    7.2908381917e-08    8.7242252754e-17
   0.3750000    1.4235079526e-07   -2.1732712222e-16
   0.5000000    3.2182984948e-08   -6.1312190403e-17
   0.6250000   -1.9391962005e-07    5.4604991155e-16
