#      theta         phi           r
   0.0000000   0.0000000   0.3081452
   0.3141593   0.0000000   0.3093129
   0.6283185   0.0000000   0.3116345
   0.9424778   0.0000000   0.3137097
   1.2566371   0.0000000   0.3146338
   1.5707963   0.0000000   0.3150695
   1.8849556   0.0000000   0.3146338
   2.1991149   0.0000000   0.3137097
   2.5132741   0.0000000   0.3116345
   2.8274334   0.0000000   0.3093129
   3.1415927   0.0000000   0.3081453
   0.0000000   0.6283185   0.3081696
   0.3141593   0.6283185   0.3086766
   0.6283185   0.6283185   0.3096076
   0.9424778   0.6283185   0.3102780
   1.2566371   0.6283185   0.3102714
   1.5707963   0.6283185   0.3103277
   1.8849556   0.6283185   0.3102714
   2.1991149   0.6283185   0.3102781
   2.5132741   0.6283185   0.3096076
   2.8274334   0.6283185   0.3086767
   3.1415927   0.6283185   0.3081697
   0.0000000   1.2566371   0.3078701
   0.3141593   1.2566371   0.3079090
   0.6283185   1.2566371   0.3076496
   0.9424778   1.2566371   0.3068533
   1.2566371   1.2566371   0.3057154
   1.5707963   1.2566371   0.3053444
   1.8849556   1.2566371   0.3057154
   2.1991149   1.2566371   0.3068533
   2.5132741   1.2566371   0.3076497
   2.8274334   1.2566371   0.3079091
   3.1415927   1.2566371   0.3078702
   0.0000000   1.8849556   0.3076861
   0.3141593   1.8849556   0.3077665
   0.6283185   1.8849556   0.3078709
   0.9424778   1.8849556   0.3077810
   1.2566371   1.8849556   0.3072598
   1.5707963   1.8849556   0.3071345
   1.8849556   1.8849556   0.3072598
   2.1991149   1.8849556   0.3077810
   2.5132741   1.8849556   0.3078710
   2.8274334   1.8849556   0.3077665
   3.1415927   1.8849556   0.3076862
   0.0000000   2.5132741   0.3075936
   0.3141593   2.5132741   0.3081240
   0.6283185   2.5132741   0.3095494
   0.9424778   2.5132741   0.3113366
   1.2566371   2.5132741   0.3125725
   1.5707963   2.5132741   0.3131199
   1.8849556   2.5132741   0.3125725
   2.1991149   2.5132741   0.3113366
   2.5132741   2.5132741   0.3095494
   2.8274334   2.5132741   0.3081240
   3.1415927   2.5132741   0.3075937
   0.0000000   3.1415927   0.3075260
   0.3141593   3.1415927   0.3081652
   0.6283185   3.1415927   0.3098339
   0.9424778   3.1415927   0.3118262
   1.2566371   3.1415927   0.3129922
   1.5707963   3.1415927   0.3135161
   1.8849556   3.1415927   0.3129922
   2.1991149   3.1415927   0.3118263
   2.5132741   3.1415927   0.3098339
   2.8274334   3.1415927   0.3081652
   3.1415927   3.1415927   0.3075261
   0.0000000   3.7699112   0.3075648
   0.3141593   3.7699112   0.3078550
   0.6283185   3.7699112   0.3084916
   0.9424778   3.7699112   0.3091070
   1.2566371   3.7699112   0.3093105
   1.5707963   3.7699112   0.3094564
   1.8849556   3.7699112   0.3093105
   2.1991149   3.7699112   0.3091070
   2.5132741   3.7699112   0.3084916
   2.8274334   3.7699112   0.3078550
   3.1415927   3.7699112   0.3075649
   0.0000000   4.3982297   0.3078379
   0.3141593   4.3982297   0.3077329
   0.6283185   4.3982297   0.3072141
   0.9424778   4.3982297   0.3061774
   1.2566371   4.3982297   0.3047887
   1.5707963   4.3982297   0.3043324
   1.8849556   4.3982297   0.3047887
   2.1991149   4.3982297   0.3061775
   2.5132741   4.3982297   0.3072141
   2.8274334   4.3982297   0.3077330
   3.1415927   4.3982297   0.3078379
   0.0000000   5.0265482   0.3080227
   0.3141593   5.0265482   0.3083516
   0.6283185   5.0265482   0.3086822
   0.9424778   5.0265482   0.3084425
   1.2566371   5.0265482   0.3076114
   1.5707963   5.0265482   0.3073533
   1.8849556   5.0265482   0.3076114
   2.1991149   5.0265482   0.3084426
   2.5132741   5.0265482   0.3086822
   2.8274334   5.0265482   0.3083517
   3.1415927   5.0265482   0.3080227
   0.0000000   5.6548668   0.3081458
   0.3141593   5.6548668   0.3091932
   0.6283185   5.6548668   0.3114061
   0.9424778   5.6548668   0.3135852
   1.2566371   5.6548668   0.3147907
   1.5707963   5.6548668   0.3153144
   1.8849556   5.6548668   0.3147907
   2.1991149   5.6548668   0.3135852
   2.5132741   5.6548668   0.3114061
   2.8274334   5.6548668   0.3091932
   3.1415927   5.6548668   0.3081458
